Rank,Index,Region_names (HCP_MMP_1.0 + HCPex),"NETWORK( Ji, J. L. et al. 2019)",MNI_x,MNI_y,MNI_z,uni-directed_out-degree,uni-directed_in-degree,bi-directed,Trophic_level,Trophic_level (cortex_only),"gradient-1 (Margulies, D. S. et al. 2016)","gradient-2 (Margulies, D. S. et al. 2016)","gradient-3 (Margulies, D. S. et al. 2016)","gradient-4 (Margulies, D. S. et al. 2016)","gradient-5 (Margulies, D. S. et al. 2016)","Task_value (Glasser, M. F. et al. 2016)","WM_score (C. Rottschy, et al. 2012)"
1,181,L_V1,Visual1,-12.08655496,-81.95640898,-5.9359601,8,4,36,0.652515447,0.505732562,-3.629309545,3.629087344,-0.872378953,0.954613995,-0.584104231,3.312675601,-1.306344191
2,182,L_MST,Visual2,-42.94828582,-65.71851852,-1.62666667,38,14,17,0.510326149,0.322017246,-3.209455266,3.2289379,-1.027625066,-0.080200397,0.264025425,0,-1.007445503
3,183,L_V6,Visual2,-13.1470728,-78.9753915,27.7733035,16,0,32,0.56365616,0.445722228,-4.441737619,4.302515765,-1.126130607,0.690472588,-0.619164223,0.604957838,-0.793965231
4,184,L_V2,Visual2,-12.62535445,-77.49594883,-0.47405828,8,3,37,0.678852846,0.532704636,-4.089997901,4.340021433,-1.140597587,0.790852529,-0.659491202,0.745973149,-1.119528468
5,185,L_V3,Visual2,-17.60544732,-83.49050086,1.89612633,7,3,38,0.694283839,0.539190821,-3.983555939,4.365062021,-0.99895066,0.630335194,-0.591510522,0.312524399,-1.273151409
6,186,L_V4,Visual2,-27.6154645,-80.63089787,-9.68166434,12,2,34,0.575255422,0.450645015,-3.971405851,4.992239908,-0.969232785,0.18277236,-0.477440096,-0.50199112,-1.274658831
7,187,L_V8,Visual2,-29.95139893,-63.49662162,-19.24662162,15,0,27,0.585642777,0.447845233,-4.231588069,5.484343109,-1.228583113,0.293067484,-0.544548916,-0.039705992,0.134197839
8,188,L_4,Somatomotor,-29.23078218,-16.330124,48.1653917,2,50,16,1.481467477,1.287114597,-5.051745277,-2.593017048,-1.512447276,-0.405419591,-0.842173165,0.703256177,0.807147013
9,189,L_3b,Somatomotor,-41.82904055,-18.0679929,44.049106,3,44,13,1.644426465,1.486432252,-5.068529918,-2.676859029,-1.624462108,-0.394599618,-0.901365747,1.417498395,0.513337352
10,190,L_FEF,Cingulo-Opercular,-44.44383172,1.1558018,47.4289439,2,54,39,1.491024833,1.252285715,-2.868697013,0.17395526,0.621450892,-0.053078193,0.826434807,2.185589119,0.548871024
