Index-HCP_MMP_1.0,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
181,0.028897042,0.01055375,0.001059157,0.0158216,0.003838099,0.011526981,0.002078926,0.025028457,0.00370638,0.00378097,0.000906182,0.043711191,0.003848521,0.003048587,0.00116809,0.00153032,0.000362879,0.305976953,0.006059973,0.034653279,0.006645772,0.164715878,0.022681583,0.016822389,0.002892408,0.002873777,0.056335266,0.009711847,0.125462817,0.019384419,0.004419507,0.002512929,0.000739021,0.001048573,0.000845833,0.000394684,0.003191714,0.000759706,0.029950317,0.003356085,0.027063544,0.005280531
182,0.011602303,0.087930984,0.000548523,0.021644453,0.001405155,0.013078475,0.001279205,0.006039302,0.000964872,0.000873906,0.000373921,0.005389176,0.000370412,0.012404449,0.000737532,0.006977001,0.00064807,0.033596191,0.006865399,0.013290017,0.001297329,0.256661492,0.004801822,0.062562357,0.000850731,0.000926674,0.146779189,0.002828706,0.115960459,0.004074361,0.014124915,0.001516274,0.059671283,0.000842869,0.010709259,0.000417263,0.006950061,0.000652942,0.03097925,0.000917063,0.059042991,0.000800717
183,0.015275413,0.006629986,0.001799644,0.018224432,0.005679184,0.006163619,0.002157233,0.0193184,0.004142564,0.002631287,0.000724126,0.035306387,0.004425581,0.003600396,0.001749585,0.001921062,0.000505313,0.486783319,0.003398169,0.025505064,0.008785037,0.063381289,0.029435664,0.007660655,0.004166795,0.00129609,0.052875941,0.019011499,0.072991962,0.033620892,0.011248938,0.004958224,0.001026888,0.002226522,0.000975397,0.000633914,0.003446833,0.001039695,0.011053229,0.003593109,0.023179823,0.010394458
184,0.03034739,0.011637592,0.00109904,0.016575289,0.003955877,0.012389521,0.002064038,0.021389301,0.00378158,0.003497679,0.000908144,0.031204299,0.003586861,0.003262027,0.001262647,0.001549698,0.000360134,0.279327177,0.006314258,0.032724136,0.006598564,0.180011915,0.022860491,0.020052527,0.002906163,0.004480915,0.059751627,0.010017435,0.125297958,0.019407714,0.004905792,0.002452883,0.000880198,0.001055676,0.000873552,0.000395537,0.00328799,0.000773342,0.033265416,0.003501929,0.038848948,0.005340927
185,0.026710213,0.012828899,0.000693393,0.017866754,0.002384807,0.012344589,0.001532828,0.009419056,0.001910276,0.001821399,0.000528202,0.013251532,0.002340525,0.002878968,0.000878362,0.001316693,0.000256204,0.265049558,0.005853458,0.024058527,0.004830477,0.183928244,0.015004622,0.020429515,0.001986197,0.004086562,0.073523318,0.007468096,0.136010041,0.014650201,0.005235348,0.001569058,0.000724685,0.000594581,0.00067677,0.000252445,0.002894595,0.000515974,0.033632632,0.002124931,0.092376016,0.004666723
186,0.026362516,0.013663277,0.000474685,0.01539578,0.001460429,0.011355249,0.00111067,0.007035665,0.00102466,0.001320613,0.000359725,0.014042617,0.001614076,0.002537485,0.000707636,0.001161766,0.000200572,0.173998919,0.005290625,0.023112752,0.003518496,0.193114321,0.009424815,0.024588601,0.001471207,0.004724743,0.065656858,0.004956256,0.122428155,0.009387965,0.006694849,0.001126157,0.001092089,0.0004709,0.00064138,0.000197693,0.002437026,0.000401241,0.033463035,0.001476263,0.217674438,0.002897513
187,0.041182077,0.015930046,0.000503948,0.010663263,0.001364035,0.014401396,0.001296152,0.009607541,0.001230511,0.001687543,0.000472594,0.025902498,0.002070422,0.002956675,0.000972773,0.001305452,0.000236191,0.104930934,0.006636092,0.0357702,0.004040098,0.267117142,0.008671251,0.04417647,0.001499082,0.013766398,0.048044329,0.003368097,0.12175591,0.006400869,0.003316905,0.000937515,0.001340991,0.000416244,0.000801146,0.000184196,0.002835528,0.000444358,0.046082577,0.001692452,0.155708726,0.001657642
188,0.006076096,0.035311835,0.002927887,0.006871346,0.001902831,0.011685557,0.003741529,0.014880892,0.009076802,0.001432832,0.000892508,0.000780884,0.000414678,0.264757257,0.047952423,0.00580792,0.001431778,0.003318123,0.007770911,0.030661044,0.016803344,0.020015929,0.005125945,0.003744606,0.000657892,0.005965792,0.008234572,0.002345754,0.007568916,0.002786969,0.106013009,0.039632063,0.1377568,0.011530674,0.059542674,0.002756674,0.084583116,0.034419862,0.009165501,0.002083356,0.00065072,0.000229765
189,0.006102918,0.053102331,0.002678207,0.012422624,0.001833253,0.013121167,0.002309963,0.007034375,0.003509056,0.000899936,0.000457643,0.000815631,0.000262091,0.319850386,0.020177482,0.01009383,0.00147818,0.002399678,0.006057772,0.01499069,0.00720818,0.027172195,0.003052687,0.00413491,0.000521436,0.010273107,0.009234834,0.001899507,0.008995748,0.002089293,0.064045361,0.017318602,0.212622472,0.006143965,0.072000782,0.002683397,0.058547563,0.012881732,0.012981211,0.001093594,0.000723498,0.000150226
190,0.003758793,0.017673564,0.005297243,0.00232212,0.001031197,0.012959948,0.004866378,0.008919908,0.006376906,0.000520142,0.000625366,0.000469158,0.000286249,0.087271937,0.01437917,0.016448282,0.008473488,0.001796499,0.012095239,0.009170773,0.005618633,0.017837255,0.006092967,0.004210537,0.000791709,0.00232011,0.009674151,0.001912009,0.007809855,0.002252253,0.089423358,0.038897736,0.359388598,0.024987396,0.017707904,0.006166858,0.153582883,0.044323489,0.005932719,0.002430338,0.001011345,0.000232084
