Index-HCPex,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
361_L_AV,0.113661937,0.00562549,0.000801899,0.017021341,0.006722106,0.104399086,0.012865005,0.017305067,0.002128107,0.003946217,0.000871207,0.047370679,0.002387483,0.008499917,0.005486448,0.001244252,0.000418012,0.021582469,0.007154398,0.565261054,0.036905821,0.040595283,0.0047325,0.011231647,0.000796194,0.00493639,0.013015209,0.002493625,0.042250175,0.007525637,0.003913534,0.001838938,0.001268462,0.000702217,0.000912438,0.000347153,0.015515611,0.003205187,0.039046516,0.002037119,0.002641812,0.000496703
362_L_CeM,0.130852214,0.009431348,0.001102717,0.034858519,0.010662584,0.19580521,0.022646476,0.012529514,0.002384111,0.001744651,0.000803668,0.015909312,0.002000509,0.021903946,0.008561348,0.004145864,0.001043779,0.016844369,0.013897187,0.164526628,0.02042204,0.067708889,0.006900048,0.010507235,0.000889319,0.014264212,0.0250431,0.004120631,0.062711502,0.010477689,0.013321911,0.004520628,0.004403191,0.00130277,0.001764679,0.000642857,0.071821039,0.009145701,0.049896412,0.002762726,0.005179965,0.00067863
363_L_CL,0.079361729,0.004127232,0.000143833,0.010661486,0.002194789,0.137299791,0.005366028,0.01673636,0.002127021,0.001699782,0.000366467,0.058444092,0.000544358,0.008817841,0.001920806,0.000686258,9.76E-05,0.015836194,0.011389062,0.649533748,0.010588701,0.037615793,0.0024013,0.008367431,0.000101642,0.005323384,0.009400047,0.000871996,0.036818128,0.002023134,0.003158147,0.00102646,0.000524134,0.000279227,0.000454951,0.000168459,0.018203509,0.001151458,0.037602249,0.000576918,0.00180907,0.000101214
364_L_CM,0.02806532,0.013996425,0.001381533,0.03926835,0.006372673,0.165091352,0.009636572,0.016861365,0.004274844,0.002733552,0.001552677,0.004804606,0.000719609,0.107104433,0.007051262,0.025120343,0.002657782,0.011727189,0.022032246,0.034130884,0.003942758,0.060497522,0.006066389,0.005335566,0.00060288,0.019287088,0.025227044,0.003591288,0.050812434,0.006528038,0.066161881,0.006468638,0.022742902,0.001867022,0.005541965,0.001123872,0.186080945,0.007535716,0.02723195,0.00160958,0.004675595,0.000533157
365_L_LD,0.098078311,0.004830958,0.000312707,0.012869332,0.003432385,0.04916966,0.002525743,0.021894785,0.002608596,0.006998204,0.001107978,0.069136735,0.00037711,0.005514421,0.002185845,0.0007753,0.000272089,0.016503998,0.005263745,0.742277815,0.011752571,0.030863263,0.002250502,0.013131256,0.000381126,0.002298986,0.007596919,0.001183417,0.03395931,0.00295699,0.001977904,0.000847646,0.000920226,0.000300373,0.000629241,0.000166742,0.01336905,0.000545225,0.039449013,0.00149573,0.001391243,0.00015606
366_L_LGN,0.033548107,0.020988598,0.000785395,0.173921115,0.009413076,0.029510501,0.003162911,0.015645212,0.001989262,0.00198238,0.000704211,0.038214457,0.001442375,0.033250869,0.004095959,0.005444323,0.000703108,0.025184558,0.005656065,0.086957467,0.005114822,0.108445868,0.004886362,0.027184621,0.000765564,0.003592241,0.044261174,0.00328465,0.249749652,0.00968721,0.010477649,0.002390926,0.003952541,0.000766419,0.002286371,0.000422358,0.029879813,0.002527489,0.037015464,0.001203366,0.010597294,0.00059001
367_L_LP,0.07806853,0.008438753,0.000547014,0.018818547,0.00238125,0.122033864,0.004086844,0.022999586,0.002486457,0.005409292,0.001078214,0.034264593,0.000728349,0.007455846,0.002202037,0.002930364,0.000502982,0.013116822,0.014326354,0.567656624,0.00456659,0.059374763,0.00322965,0.015662665,0.000460334,0.002509263,0.015928293,0.001630214,0.060409368,0.003092479,0.005709719,0.001930417,0.001769891,0.000541074,0.001326614,0.000432135,0.030083454,0.001566036,0.050131894,0.001417545,0.002843587,0.000290705
368_L_L-Sg,0.034297593,0.014695284,0.001461535,0.121874736,0.016992853,0.082980092,0.01007786,0.012183825,0.002148012,0.001179205,0.000718753,0.034425346,0.002127611,0.019991535,0.005299638,0.008176393,0.00136418,0.022020847,0.010373749,0.053897654,0.005217589,0.092078687,0.006972912,0.019307196,0.000734838,0.00437001,0.043033852,0.005953627,0.243710394,0.014121294,0.011344888,0.004180563,0.003501989,0.001099818,0.00186783,0.000853812,0.064461499,0.010351756,0.030734565,0.001533418,0.011259993,0.000592682
369_L_MDl,0.081301793,0.007983375,0.000953798,0.022103776,0.004377169,0.334716562,0.014061755,0.029010877,0.004803164,0.005740743,0.002505705,0.00998408,0.00106386,0.00898665,0.003364433,0.014202218,0.001562788,0.012170621,0.041521217,0.092126974,0.008758517,0.10479506,0.007182032,0.008741216,0.000711032,0.003595386,0.018816333,0.002557881,0.046134893,0.00527665,0.01027865,0.002834872,0.002170687,0.000842569,0.001758411,0.000990005,0.039795396,0.004269559,0.064635339,0.002466348,0.003914986,0.000458101
370_L_MDm,0.108746521,0.007097268,0.001683447,0.024453004,0.011866074,0.213921249,0.048159755,0.017715927,0.005232537,0.003942122,0.002218375,0.014426298,0.004347572,0.011341946,0.008754276,0.004067782,0.001384261,0.016890859,0.023781295,0.1743407,0.054680313,0.071423034,0.014331649,0.008235047,0.002202853,0.006746,0.019447026,0.006011107,0.047951421,0.015668096,0.00749191,0.004511659,0.002172121,0.001344896,0.001288902,0.00088206,0.0306519,0.010077897,0.048119706,0.006986053,0.004160316,0.001091783
