D99_index,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
300,0.010226064,0.002556339,0.000846038,0.007138565,0.004998524,0.102212298,0.048563686,0.095692542,0.028184474,0.088065776,0.027444177,0.004707138,0.001507649,0.010609948,0.00797401,0.041733562,0.025886714,0.012349188,0.212955469,0.024440021,0.013887249,0.047879394,0.024973949,0.003277751,0.001083029,0.001620714,0.003420861,0.001857015,0.008668856,0.00493383,0.021893322,0.005275306,0.041678041,0.008948399,0.005842391,0.007787652,0.012479024,0.010117098,0.010061107,0.004216921,0.002341896,0.001498639
301,0.021363313,0.00144949,0.000589409,0.008490089,0.003333352,0.118039655,0.018624665,0.044620264,0.011426299,0.092925083,0.020925732,0.004762416,0.001485866,0.010505719,0.005172012,0.016411958,0.006732904,0.009483323,0.232254485,0.028429068,0.013142034,0.183580681,0.020871231,0.006556182,0.000957318,0.001336729,0.007795416,0.001382761,0.013397418,0.004145123,0.003150811,0.001251047,0.015129073,0.004091581,0.006201335,0.002656848,0.007981992,0.004897185,0.039066566,0.003460663,0.004162706,0.001185055
303,0.025548047,0.002344542,0.001489792,0.010331637,0.008655013,0.047034815,0.034496831,0.022956143,0.014537936,0.176066254,0.13093177,0.003827795,0.00321715,0.014639029,0.011723898,0.010862555,0.009171823,0.01297341,0.072743694,0.028507059,0.022989928,0.08305053,0.047873848,0.005179217,0.002469469,0.002138885,0.005870257,0.00408818,0.011479495,0.006389319,0.00250447,0.002324826,0.013491813,0.006880033,0.005796763,0.004444331,0.008089864,0.00773297,0.049352681,0.037119205,0.002914487,0.002413687
305,0.013902558,0.004573271,0.000169256,0.011264699,0.000930829,0.049954947,0.003056079,0.012064168,0.002025706,0.027276242,0.004848998,0.00889413,0.000530356,0.0034695,0.000942589,0.00679309,0.001154734,0.009060969,0.034147391,0.018183448,0.002687556,0.380194785,0.004211426,0.030908594,0.000338383,0.000904087,0.061636923,0.000453482,0.030345172,0.001101688,0.00061104,0.00045479,0.002816605,0.000513168,0.007920923,0.00038532,0.001301469,0.000643718,0.250390602,0.00106246,0.014340186,0.000485212
306,0.028433105,0.003105939,0.001148019,0.014611113,0.00588937,0.063626949,0.024839975,0.021495734,0.011780549,0.215997665,0.071006773,0.004930208,0.002343833,0.020492502,0.008520069,0.014019144,0.007076536,0.013369822,0.077321346,0.032316543,0.017101784,0.120338845,0.032191345,0.007217978,0.001782152,0.002302138,0.0101838,0.003006956,0.015414345,0.004801888,0.00279334,0.001769307,0.01501869,0.005243393,0.007434028,0.00333053,0.010801652,0.006023193,0.069257924,0.020018643,0.004467237,0.001855446
308,0.019063911,0.004766795,0.00035357,0.015195593,0.001597576,0.00884998,0.002089035,0.011923204,0.002062136,0.006582204,0.001871265,0.33108757,0.00134068,0.00738744,0.001724401,0.004533889,0.001000589,0.014171078,0.004979341,0.078352092,0.00580283,0.084485951,0.004420238,0.197370551,0.001462925,0.016528237,0.031508867,0.000854514,0.024574777,0.001649102,0.000688617,0.00031371,0.004317561,0.000965264,0.011841085,0.000619644,0.003218977,0.001056312,0.086424674,0.001207616,0.016308445,0.000655317
309,0.005051952,0.004472224,0.001063172,0.006164298,0.004974214,0.019534387,0.018643842,0.297014343,0.109063345,0.076304746,0.032000289,0.007242477,0.001791329,0.017042232,0.019184743,0.029984389,0.028456477,0.013424939,0.049173426,0.018418602,0.012453399,0.015865152,0.01285487,0.00205053,0.000879754,0.002391716,0.003001633,0.001734428,0.00525455,0.003279705,0.031574028,0.029090879,0.029251513,0.011956602,0.005954279,0.004530377,0.025411558,0.035734028,0.004036113,0.003618723,0.001413676,0.00113792
312,0.017112707,0.001905965,0.001108845,0.008338793,0.006590001,0.039687929,0.026197701,0.049032532,0.023474239,0.241235761,0.153595316,0.003218357,0.002165654,0.011026879,0.008437909,0.008753173,0.00736312,0.011579409,0.096662143,0.023345533,0.017631242,0.069696599,0.038219603,0.004231785,0.001709883,0.00193883,0.00427947,0.002682052,0.00882676,0.005279384,0.002094619,0.00266676,0.012105646,0.005339711,0.004453942,0.003353954,0.006105253,0.005827978,0.035620779,0.023954355,0.00247252,0.001997994
313,0.006200371,0.044705696,0.000911825,0.080254835,0.004050799,0.008729415,0.003238145,0.013828579,0.006802196,0.003265314,0.001376165,0.008032608,0.001001348,0.014463866,0.004609948,0.026102015,0.005240341,0.056634092,0.009547362,0.025993279,0.007512371,0.071096663,0.007316848,0.040051765,0.000912717,0.002022934,0.3199079,0.00280027,0.04565714,0.004159925,0.001541381,0.000953056,0.020592125,0.004651543,0.03944068,0.002797517,0.007223277,0.003541339,0.039881692,0.001262303,0.061792617,0.002056848
314,0.006006127,0.009981638,0.006078479,0.015314883,0.021247204,0.011579423,0.005892062,0.325940033,0.083423412,0.035976291,0.01117703,0.02069838,0.003331441,0.012750596,0.015223971,0.006248741,0.004782731,0.108451157,0.022998693,0.059164981,0.033835334,0.024173321,0.019125264,0.006820922,0.00215738,0.005325491,0.009433546,0.008785307,0.017238921,0.008000272,0.01072807,0.009695134,0.012715262,0.009274911,0.004704539,0.005746558,0.007402075,0.005923715,0.005472042,0.003980575,0.005126134,0.004684861
315,0.006128767,0.007852463,0.002181468,0.01968755,0.015961524,0.014398619,0.005904264,0.303434548,0.046615907,0.031530876,0.009253851,0.005728326,0.003284147,0.014911287,0.008963459,0.010800438,0.005447994,0.191644045,0.02265121,0.027125127,0.018758573,0.032142254,0.022849899,0.009021553,0.002415586,0.022464854,0.008573147,0.005868401,0.027412533,0.018856449,0.006198354,0.003472892,0.013317921,0.004286602,0.005075725,0.002799298,0.007085074,0.004456721,0.005054264,0.003014213,0.010441159,0.009741241
316,0.017323082,0.002063654,0.000379,0.011565769,0.002087388,0.117226302,0.008290887,0.026536521,0.004899681,0.051742038,0.011016884,0.007548558,0.000694425,0.009238855,0.002418958,0.020426289,0.00279523,0.008486639,0.095257673,0.023965589,0.005081895,0.333313671,0.009311505,0.015866334,0.000473364,0.001401025,0.022232468,0.000856251,0.023830596,0.001783709,0.001350568,0.000969712,0.010130227,0.00165539,0.012530777,0.001032626,0.004248566,0.001810634,0.121417659,0.002237171,0.008593651,0.000663201
317,0.036890474,0.0041773,0.000758537,0.017150324,0.005491262,0.008430385,0.003821889,0.014317584,0.00450953,0.00465797,0.001997873,0.306686442,0.004011022,0.008242466,0.003914601,0.002919224,0.001908281,0.041675571,0.005335107,0.128022676,0.01437686,0.095914152,0.014011348,0.109593165,0.004766542,0.005483546,0.014770301,0.002383155,0.04952114,0.007137238,0.000772545,0.000661791,0.004632481,0.002088745,0.003445626,0.001333012,0.003792229,0.002248176,0.026135889,0.00260384,0.023059479,0.002640439
318,0.007373145,0.039352064,0.001793978,0.033341518,0.007219283,0.006095941,0.002553996,0.017534037,0.008572868,0.003103668,0.001736927,0.008728014,0.001954673,0.009396885,0.004520184,0.003740867,0.00183127,0.149669236,0.00539167,0.038112739,0.013614335,0.100603321,0.012943117,0.101821331,0.001683425,0.003105332,0.064706303,0.004985636,0.098627693,0.009654721,0.002859531,0.00104158,0.013842284,0.002973369,0.018092093,0.002316841,0.004534288,0.001975267,0.015888893,0.001898993,0.17569412,0.006007469
321,0.005589038,0.011438805,0.004971599,0.016848917,0.024363258,0.020383971,0.008450977,0.332252869,0.06393725,0.029307885,0.009374626,0.002411233,0.002769921,0.023588421,0.025270538,0.027738681,0.011772978,0.072896394,0.02654186,0.02731888,0.026726718,0.020308386,0.019827098,0.00401258,0.002175386,0.005953301,0.010703391,0.008704854,0.009009854,0.008425453,0.024497047,0.008112917,0.034249567,0.012990213,0.006542162,0.009172657,0.017378983,0.009489102,0.00472774,0.003886166,0.004825796,0.004422038
322,0.008977205,0.038916047,0.002071481,0.11634267,0.008010084,0.012353935,0.004095461,0.021579312,0.009456176,0.00561212,0.002220428,0.005961089,0.001000948,0.082297138,0.009014026,0.04400588,0.004495204,0.029580098,0.011534952,0.026601537,0.01351257,0.095114497,0.007741166,0.014391924,0.000733797,0.001979341,0.134441971,0.003624065,0.018640985,0.002988158,0.00669684,0.001712966,0.066070952,0.007739732,0.110623907,0.005143054,0.018408273,0.004623565,0.047006888,0.001630835,0.013084099,0.001454126
323,0.005010483,0.042894888,0.003456768,0.128573001,0.019522614,0.007780042,0.00404692,0.034907219,0.016587222,0.003851089,0.002524544,0.002481776,0.001242898,0.045992741,0.018349306,0.02015182,0.005989037,0.053683253,0.007939461,0.032769973,0.019569866,0.041862647,0.012588427,0.013605479,0.001034259,0.002048896,0.203613164,0.007296932,0.01892902,0.004812514,0.004630807,0.00317486,0.050489561,0.014412614,0.095318292,0.009844209,0.014150721,0.007550497,0.014112368,0.002404877,0.019094309,0.002771076
325,0.004255566,0.005452373,0.004200882,0.012828821,0.016126469,0.010635889,0.006520913,0.386967743,0.11900695,0.039320062,0.015662761,0.011094912,0.00297192,0.014055687,0.014492844,0.007742932,0.005519455,0.056899473,0.024074212,0.03479968,0.027822722,0.018510217,0.013986653,0.004739696,0.001412958,0.009667904,0.005260299,0.004864131,0.011574477,0.006088171,0.019169903,0.013921663,0.015870105,0.009785131,0.004219307,0.005062581,0.009271516,0.008214601,0.004281137,0.003206375,0.003562314,0.002664365
326,0.020148959,0.00627592,0.000909183,0.023285771,0.004080298,0.019034805,0.003774903,0.025296351,0.006068704,0.014530104,0.004222501,0.224736072,0.001553397,0.013296419,0.003865922,0.004710163,0.001530812,0.035493927,0.01113603,0.100426195,0.012075531,0.139398857,0.008195801,0.065082868,0.00105134,0.010673496,0.031086917,0.00184429,0.041435261,0.005078275,0.00122632,0.00092652,0.005115002,0.002456936,0.008112853,0.001333573,0.004833691,0.002851055,0.130996961,0.002049362,0.011714103,0.001653826
327,0.021586726,0.001849556,0.000935173,0.009743183,0.005229355,0.12321012,0.03176865,0.045928107,0.012006258,0.110976229,0.046247497,0.003332106,0.001970703,0.011316176,0.005966511,0.015248614,0.009919426,0.011983307,0.167879094,0.025986358,0.016594147,0.155818728,0.038857354,0.00622396,0.001197359,0.001747557,0.006715815,0.001915183,0.015127656,0.005909115,0.002828062,0.00160967,0.013910736,0.005135491,0.005361373,0.003039668,0.008005351,0.005325836,0.031663134,0.009079761,0.004083804,0.001880037
328,0.007042219,0.126917755,0.007242239,0.04501003,0.018693676,0.008964308,0.004684559,0.074287991,0.016286742,0.004571412,0.002805848,0.00259579,0.001868427,0.041889113,0.013603408,0.008636655,0.004552119,0.114826838,0.008937359,0.032910093,0.024983104,0.037266385,0.017153209,0.010011053,0.001449692,0.004048096,0.039466581,0.009104692,0.019788313,0.007448332,0.02313558,0.003113458,0.113861616,0.011247122,0.062552663,0.008879977,0.015796151,0.005188552,0.009062044,0.00365586,0.037511017,0.004394507
329,0.0077436,0.118429692,0.008760905,0.042335447,0.024364421,0.008949933,0.005315764,0.068732018,0.018862414,0.00474918,0.003155912,0.002639992,0.00234004,0.043757304,0.016556687,0.008674718,0.005231599,0.109784711,0.009166604,0.037731851,0.031531116,0.033841234,0.021580089,0.00887351,0.001814249,0.003952378,0.032694484,0.012783471,0.0169199,0.00901562,0.024249875,0.003408324,0.107895953,0.013659931,0.061607178,0.011028675,0.017342666,0.005879524,0.008347345,0.00460498,0.034599277,0.005096377
330,0.004632919,0.004637273,0.000979915,0.007469445,0.003180794,0.062770286,0.014041533,0.032149768,0.022272824,0.016893266,0.005581536,0.001215358,0.00075926,0.043308544,0.009515188,0.284390504,0.039679077,0.007579992,0.05014033,0.010215273,0.007302933,0.025525746,0.008638345,0.001869592,0.000519592,0.001804468,0.004774883,0.001433101,0.004827872,0.002298055,0.043680966,0.005102404,0.139010953,0.012167223,0.023649662,0.007902623,0.068043874,0.014356701,0.00489204,0.001970971,0.002047713,0.000846637
332,0.014877588,0.009865898,0.001200286,0.034065706,0.005500452,0.008821712,0.0029988,0.01633622,0.007011567,0.003595676,0.001920632,0.011221585,0.002499359,0.012041113,0.003893273,0.004276758,0.001787889,0.144837365,0.007009229,0.051703084,0.013876644,0.171480995,0.013788444,0.06064218,0.001853879,0.004504334,0.032398768,0.003348436,0.189280251,0.010540532,0.002371718,0.000866111,0.006503389,0.002286231,0.007907247,0.001695169,0.004961534,0.001916921,0.020213652,0.001937087,0.098189611,0.0052638
333,0.011000742,0.017618822,0.001170543,0.064803585,0.005735137,0.018287487,0.005164231,0.021393066,0.009329957,0.005881107,0.002505122,0.004817224,0.000907971,0.054405544,0.010219948,0.139553046,0.008350086,0.024337637,0.015414953,0.024378068,0.010240461,0.124325177,0.007274424,0.017482119,0.000661629,0.002254285,0.089219991,0.002358566,0.03362738,0.002492882,0.003838831,0.002208588,0.053154253,0.00907186,0.116222486,0.005499297,0.029534352,0.007840364,0.041762779,0.001623628,0.016042608,0.001256588
335,0.007257597,0.003251022,0.00072677,0.008028121,0.0033711,0.146481226,0.020218773,0.066601446,0.01791596,0.048792566,0.011586426,0.002526356,0.000821405,0.025197375,0.00709888,0.083295844,0.021410919,0.009844851,0.18606977,0.018732794,0.007411117,0.051878917,0.014255263,0.00341028,0.000607786,0.001554533,0.004705021,0.001328602,0.008977875,0.002591342,0.049970779,0.00500103,0.080628697,0.008087375,0.010249622,0.005941416,0.031257132,0.009496025,0.009144969,0.002726573,0.002778786,0.000904697
336,0.005909621,0.117254896,0.0033552,0.084453693,0.011303163,0.011494566,0.004171313,0.033188103,0.010447614,0.005470525,0.002321063,0.003092005,0.000950034,0.066024356,0.009165812,0.03974042,0.005015908,0.028557123,0.011487775,0.021992375,0.014579769,0.052748333,0.009570494,0.010030212,0.000723726,0.002160129,0.116968625,0.004900282,0.01254229,0.002729877,0.005687407,0.001985097,0.094467383,0.007763022,0.155092082,0.005689346,0.013387818,0.004449939,0.02116975,0.002101069,0.01489228,0.001687826
337,0.006253589,0.083919475,0.002487875,0.049714161,0.018424052,0.007219625,0.00367553,0.031562651,0.011915884,0.004168901,0.002222344,0.005735662,0.001900567,0.010927654,0.007434151,0.007745718,0.003242159,0.144079269,0.008465704,0.0369712,0.018284838,0.067614804,0.020587315,0.037809922,0.001999065,0.002254187,0.121654711,0.010242304,0.046745705,0.012738849,0.002174391,0.001520633,0.026492678,0.004905271,0.040187932,0.0039789,0.00505498,0.003224668,0.014361252,0.002468806,0.115334831,0.005933057
339,0.011541401,0.001732924,0.000514029,0.007888553,0.00266279,0.20143237,0.016091363,0.064272982,0.010906228,0.043365728,0.012780479,0.003578971,0.00093461,0.012463723,0.004407744,0.043573596,0.009823159,0.00877833,0.220402844,0.021526864,0.007984332,0.140051436,0.014350961,0.004832343,0.000615738,0.001328318,0.004656358,0.001013529,0.010790119,0.002636694,0.006703395,0.00152813,0.042347256,0.004235827,0.011369145,0.003249923,0.012512246,0.005096623,0.021468632,0.002474759,0.003132385,0.000821589
341,0.00539713,0.035553084,0.007890504,0.031850324,0.020236601,0.011075227,0.006842939,0.036569361,0.022882207,0.005861488,0.004077324,0.001693421,0.001607428,0.084312673,0.025175594,0.014313257,0.008018324,0.043049962,0.012550181,0.034685731,0.032863565,0.020906762,0.016878623,0.004101121,0.001232009,0.004671752,0.015675136,0.00726542,0.008848336,0.004744254,0.205994688,0.00810223,0.103522782,0.019585832,0.041974534,0.014175129,0.058321704,0.010937931,0.005847994,0.004147172,0.007153961,0.003215095
342,0.021939965,0.003324047,0.000315692,0.011156806,0.00148933,0.005662969,0.001943966,0.00659582,0.001779245,0.002879754,0.001040328,0.171718638,0.002102489,0.004907998,0.001422127,0.002043222,0.000786765,0.014904162,0.00280018,0.095955516,0.00649143,0.076515611,0.00626642,0.40718522,0.002162312,0.004632813,0.023008474,0.000951232,0.034149497,0.002125279,0.000517062,0.000269057,0.002597628,0.000794452,0.004784723,0.000531065,0.002369312,0.000825102,0.043530078,0.00124633,0.034125188,0.000915345
343,0.01119978,0.001856994,0.000713748,0.006831935,0.004917393,0.03530163,0.02654122,0.120104939,0.024104359,0.264879571,0.107716673,0.002853085,0.001531011,0.009646925,0.006285754,0.012081597,0.00941483,0.010888449,0.130145012,0.017936605,0.012874964,0.0502178,0.032799316,0.003473449,0.001207644,0.001879023,0.00332386,0.001811833,0.007078155,0.004225562,0.003110512,0.003343502,0.011620945,0.004330129,0.003510138,0.002694338,0.005765868,0.005002939,0.019035982,0.010868547,0.00208523,0.00153295
344,0.005720204,0.028255974,0.001620961,0.113867481,0.009079825,0.012901169,0.004541142,0.021064625,0.012045018,0.00455292,0.001976794,0.003564151,0.00109344,0.050274593,0.012241276,0.033631902,0.007342721,0.038876785,0.0123013,0.023384254,0.0117324,0.063746938,0.008576067,0.02099108,0.000816253,0.001745804,0.238169937,0.003622678,0.027771982,0.003492603,0.004350236,0.001994324,0.040999858,0.010069239,0.102719986,0.006477247,0.018483612,0.006452068,0.026147414,0.001741279,0.026305167,0.001813841
345,0.016777611,0.001886933,0.000902651,0.009584679,0.00515799,0.107861863,0.03554397,0.062155573,0.017125035,0.123468874,0.055645833,0.003402395,0.001725351,0.01240231,0.00659636,0.015328987,0.010150196,0.010833922,0.165623475,0.023480817,0.01432898,0.116590743,0.037786937,0.004995885,0.001181575,0.001647542,0.005397169,0.001933914,0.012041381,0.00490824,0.003627974,0.002513552,0.014125191,0.005072362,0.005166728,0.003119385,0.009379593,0.005775215,0.031209255,0.009169855,0.003265416,0.001673492
347,0.005788474,0.001894829,0.000567806,0.004095158,0.004045623,0.024787701,0.020279855,0.251258966,0.045245849,0.228182766,0.062750943,0.002304334,0.00115659,0.007645588,0.006416018,0.024931082,0.021838423,0.01079274,0.112504721,0.011672078,0.008658656,0.027870636,0.016818945,0.002230293,0.00091038,0.002355143,0.002262887,0.001522484,0.004647747,0.002870434,0.009888152,0.006880237,0.015337904,0.007186941,0.003669365,0.003671586,0.00931709,0.010707613,0.008342919,0.00556926,0.001604769,0.001074789
348,0.004631976,0.032407237,0.005845254,0.035574411,0.016009577,0.014663113,0.006898489,0.067810003,0.029484656,0.008802827,0.004320314,0.00137998,0.001386179,0.088827604,0.032823145,0.027801077,0.010589615,0.021638388,0.014386477,0.02644013,0.025903446,0.018590145,0.01342225,0.003628733,0.000967079,0.00359902,0.025006819,0.005731152,0.006628127,0.003259654,0.131155593,0.019022365,0.093728132,0.025357591,0.080520096,0.015788992,0.057444803,0.018386919,0.005634352,0.003676182,0.006324039,0.002248678
349,0.007446715,0.004165938,0.001179096,0.007921604,0.003724113,0.091372409,0.023637859,0.044130406,0.027799216,0.028146534,0.010519354,0.002699104,0.000994426,0.031039676,0.011715128,0.165302681,0.04634264,0.007679919,0.104391336,0.017980159,0.009457802,0.07203599,0.013557241,0.004741578,0.000817399,0.001477637,0.007794745,0.001628954,0.010278945,0.003169192,0.010363042,0.004702682,0.091245827,0.018050639,0.032716735,0.009950262,0.03344154,0.018371452,0.016258184,0.002715718,0.003355585,0.001101883
350,0.015935183,0.003395361,0.000496295,0.015570018,0.003565241,0.007350115,0.002168887,0.025658274,0.003605763,0.004446188,0.001189834,0.45041777,0.00190204,0.00893948,0.002548611,0.002448274,0.000881572,0.033311573,0.004410905,0.054710409,0.007179821,0.079127852,0.007162462,0.10894592,0.00216691,0.029320255,0.015698962,0.001453649,0.03780872,0.004126943,0.000547945,0.000409188,0.003531202,0.001053842,0.003742477,0.000752848,0.002831123,0.001140861,0.039443181,0.001172983,0.019229223,0.001503147
351,0.006411133,0.041582079,0.001084161,0.052236806,0.004294892,0.005545461,0.001838717,0.015852455,0.007127718,0.002652381,0.001239664,0.014716059,0.001388533,0.006005402,0.002877169,0.003755933,0.001240008,0.087156148,0.004815024,0.03578766,0.008555058,0.136883919,0.008341074,0.104277738,0.001295038,0.001911374,0.126774984,0.003181936,0.126343559,0.004543334,0.001400887,0.00078258,0.012606782,0.001713706,0.022442825,0.001222854,0.003131475,0.00129883,0.020573735,0.001326028,0.120711828,0.002875604
