D99_index,ac,af_l,af_r,ar_l,ar_r,atr_l,atr_r,cbd_l,cbd_r,cbp_l,cbp_r,cbt_l,cbt_r,cst_l,cst_r,fa_l,fa_r,fma,fmi,fx_l,fx_r,ifo_l,ifo_r,ilf_l,ilf_r,mcp,mdlf_l,mdlf_r,or_l,or_r,slf1_l,slf1_r,slf2_l,slf2_r,slf3_l,slf3_r,str_l,str_r,uf_l,uf_r,vof_l,vof_r
0001_LEFT_pu,0.06609729,0.009186587,0.002400596,0.048425927,0.008019316,0.081674691,0.008364587,0.026956928,0.00958548,0.026739784,0.006407526,0.009633634,0.002734596,0.074658567,0.01019565,0.034059206,0.005323066,0.026158191,0.026211645,0.075252132,0.02242501,0.149996878,0.016788955,0.013681634,0.001880591,0.005125254,0.027890945,0.003608424,0.032442809,0.005014004,0.006162206,0.001871422,0.033300152,0.006909203,0.019541214,0.004983678,0.037911602,0.005863662,0.043499164,0.004167548,0.010037354,0.002109631
0002_LEFT_cd,0.038529259,0.010063605,0.001338241,0.029343715,0.005578217,0.132444604,0.008822053,0.030569464,0.009019122,0.058776507,0.009441492,0.013213472,0.001877331,0.063113266,0.007695238,0.042849141,0.007166079,0.021679962,0.0456368,0.098204799,0.01838134,0.099400021,0.011892211,0.011283356,0.001209149,0.006382769,0.016612598,0.00239976,0.026044482,0.003488387,0.004297565,0.0018787,0.043639806,0.005796935,0.017429196,0.003560437,0.044684884,0.005880434,0.03137528,0.003392965,0.006071295,0.001338028
0003_LEFT_nan,0.083245297,0.005925048,0.001243887,0.030912309,0.006614624,0.065779452,0.0095336,0.025146011,0.007857564,0.101292814,0.018312862,0.016148135,0.002557868,0.039474826,0.008157926,0.025860072,0.005233836,0.024624074,0.034981664,0.112434603,0.023509666,0.127231308,0.018162443,0.01555627,0.002027618,0.004662559,0.018463153,0.002808292,0.030637823,0.005046799,0.003122035,0.001517376,0.023605488,0.004406117,0.013696798,0.002937767,0.020916516,0.005432687,0.05138408,0.005677114,0.008051472,0.001896856
0004_LEFT_GPe,0.102741433,0.009335502,0.002312834,0.051708787,0.008221359,0.086245591,0.009728192,0.026562663,0.009123005,0.021811835,0.005974872,0.01152569,0.00465526,0.068898802,0.009028731,0.028682264,0.005409392,0.027971679,0.027064494,0.07325132,0.025640945,0.130935262,0.019194569,0.015183166,0.004461853,0.005581853,0.025068049,0.003796457,0.030927038,0.005769374,0.005970489,0.0017821,0.030113404,0.005537882,0.020543231,0.004061374,0.03080039,0.005099623,0.035565847,0.004927009,0.010243809,0.002329056
0005_LEFT_GPi,0.074387486,0.00995703,0.002148904,0.077920348,0.011162695,0.055964425,0.007921923,0.024571365,0.008822558,0.01119875,0.003893783,0.014238725,0.003103478,0.140961644,0.012221216,0.015006891,0.00385833,0.040106156,0.013793749,0.095966495,0.025577247,0.097461784,0.014069484,0.019797987,0.002099006,0.021711896,0.026149929,0.00429033,0.050077737,0.006508219,0.005048338,0.001536026,0.020924992,0.00471017,0.014739809,0.00332462,0.027101651,0.005502787,0.019748883,0.00332037,0.013986172,0.002404366
0006_LEFT_SNpr,0.028866824,0.004014047,0.001114855,0.058197383,0.011361458,0.076782094,0.008284402,0.017474961,0.008518935,0.010376013,0.00344428,0.00927685,0.002312258,0.241004579,0.02098051,0.024835228,0.006528216,0.020943647,0.016102457,0.051212025,0.017399553,0.064057974,0.011813675,0.010007352,0.001403147,0.127425216,0.010474283,0.002499582,0.027324937,0.006803924,0.005328302,0.001774097,0.018102966,0.003654479,0.008524971,0.002466537,0.033047071,0.00637748,0.014427027,0.002615404,0.006938388,0.002208997
0007_LEFT_SNpc,0.037304604,0.004137245,0.001510333,0.06485042,0.019851576,0.046791173,0.010048171,0.015333232,0.008957211,0.01275469,0.004610504,0.015097884,0.003514888,0.192551811,0.031771529,0.012004347,0.004282389,0.029041451,0.013233735,0.074818606,0.026958085,0.067308228,0.016759059,0.012927365,0.002002666,0.120498547,0.011352461,0.003171495,0.034314193,0.01150825,0.004111095,0.001714975,0.014394059,0.004214695,0.006405372,0.002999922,0.026202807,0.008119383,0.017336792,0.00370222,0.00905649,0.00352416
0008_LEFT_SNpl,0.031844555,0.004963654,0.001412137,0.115643367,0.013298805,0.03955184,0.007365691,0.01638688,0.007747631,0.007843045,0.003135393,0.013102547,0.00244709,0.25286349,0.020836683,0.014121257,0.004057811,0.027330261,0.011296811,0.069508766,0.021159803,0.060601491,0.012382586,0.011606205,0.00154123,0.085338462,0.012555747,0.003230862,0.034647057,0.008037031,0.004634593,0.001643271,0.015350658,0.003712868,0.007664605,0.002489294,0.025114916,0.006218572,0.013354242,0.002814818,0.008281092,0.002447849
0009_LEFT_STN,0.034135701,0.006228007,0.001430807,0.106950965,0.012631297,0.042673412,0.006963585,0.017232372,0.007598637,0.008042062,0.003045475,0.014520422,0.00235363,0.229758343,0.01370239,0.018795462,0.004943048,0.030629266,0.011407707,0.0917062,0.02016827,0.076833599,0.012672042,0.016573904,0.001527399,0.036476542,0.017318043,0.003090139,0.04223775,0.007490324,0.006621373,0.001555091,0.020192789,0.003913479,0.009972467,0.002811582,0.0375003,0.005587254,0.017127515,0.002897681,0.010117233,0.002359293
0010_LEFT_VP,0.096009641,0.005744449,0.001129644,0.03749518,0.007102633,0.043072995,0.007886338,0.020139494,0.006726958,0.079218096,0.012818133,0.03324422,0.002868841,0.042761476,0.007730308,0.018468887,0.004444618,0.032645982,0.02598158,0.145577232,0.023684668,0.122857003,0.01402475,0.029569238,0.002153928,0.007542051,0.019495622,0.002854084,0.039586899,0.005533503,0.002798464,0.001196814,0.018636901,0.003653227,0.010242728,0.002406288,0.018440017,0.004598,0.046749772,0.004086154,0.011103706,0.001923526
0011_LEFT_AV,0.024577103,0.004124154,0.000602779,0.028810506,0.004421957,0.179727939,0.00875236,0.025011543,0.005996992,0.017107859,0.004626104,0.035675845,0.002888485,0.022094144,0.004860861,0.024121454,0.005791245,0.025715964,0.028306746,0.317027329,0.020721414,0.073824703,0.008394756,0.0168811,0.001428941,0.002959301,0.012159209,0.001455061,0.058491695,0.003863369,0.003474534,0.001203453,0.018397203,0.002601412,0.00490315,0.001814254,0.031025807,0.00403476,0.014007176,0.002394639,0.006965372,0.001147373
