source_id,target_id,source,target,S2T,T2S
34,21,Pul,LGN,1,0
34,33,Pul,Ret,1,0
35,33,PI,Ret,1,0
50,33,MD,Ret,0,1
56,33,MDmc,Ret,0,1
59,56,VN,MDmc,1,0
68,33,VL,Ret,0,1
74,33,VApc,Ret,0,1
75,33,VAdc,Ret,0,1
76,33,VAmc,Ret,0,1
82,5,14,AN,0,1
82,8,14,AM,0,1
82,10,14,ML,0,1
82,11,14,Re,0,1
82,12,14,PT,0,1
82,13,14,PAa,0,1
82,15,14,Clc,0,1
82,16,14,Cim,0,1
82,17,14,Cif,0,1
82,18,14,Cdc,0,1
82,22,14,IL,0,1
82,23,14,Pf,0,1
82,24,14,Pcn,0,1
82,27,14,Csl,0,1
82,28,14,Cs,0,1
82,32,14,Li,0,1
82,41,14,PM,0,1
82,50,14,MD,1,1
82,51,14,MDdc,0,1
82,52,14,MDcd,0,1
82,54,14,MDpc,0,1
82,56,14,MDmc,1,1
82,57,14,MDpm,0,1
82,60,14,X,0,1
82,68,14,VL,0,1
82,69,14,VLm,0,1
82,73,14,VA,0,1
82,76,14,VAmc,1,1
84,8,14r,AM,0,1
84,9,14r,AD,0,1
84,74,14r,VApc,0,1
84,76,14r,VAmc,0,1
85,50,OFap,MD,1,0
85,82,OFap,14,1,0
87,50,ProM,MD,1,0
87,79,ProM,belt_sm,1,1
88,50,Gu,MD,1,1
88,64,Gu,VPM,0,1
88,79,Gu,belt_sm,1,1
88,87,Gu,ProM,1,0
89,3,13,Hyp,0,1
89,8,13,AM,0,1
89,11,13,Re,1,1
89,12,13,PT,1,1
89,13,13,PAa,1,0
89,15,13,Clc,0,1
89,16,13,Cim,1,0
89,18,13,Cdc,0,1
89,23,13,Pf,0,1
89,24,13,Pcn,0,1
89,25,13,CM,0,1
89,28,13,Cs,1,0
89,31,13,SG,1,0
89,32,13,Li,1,1
89,34,13,Pul,1,1
89,41,13,PM,1,1
89,45,13,PL,1,0
89,50,13,MD,1,1
89,56,13,MDmc,1,1
89,57,13,MDpm,1,1
89,58,13,MDfi,1,1
89,69,13,VLm,1,0
89,73,13,VA,0,1
89,76,13,VAmc,0,1
89,79,13,belt_sm,1,0
89,82,13,14,1,0
89,83,13,14O,1,0
89,87,13,ProM,1,0
89,88,13,Gu,0,1
90,84,13L,14r,0,1
90,88,13L,Gu,1,1
91,84,13M,14r,0,1
91,88,13M,Gu,0,1
91,90,13M,13L,1,1
92,8,13a,AM,1,1
92,9,13a,AD,1,0
92,17,13a,Cif,1,0
92,27,13a,Csl,0,1
92,30,13a,PN,0,1
92,50,13a,MD,1,1
92,56,13a,MDmc,1,0
92,57,13a,MDpm,0,1
92,58,13a,MDfi,0,1
92,76,13a,VAmc,1,0
92,84,13a,14r,1,1
92,90,13a,13L,1,1
92,91,13a,13M,1,1
93,5,32,AN,0,1
93,7,32,AV,0,1
93,8,32,AM,0,1
93,9,32,AD,0,1
93,10,32,ML,0,1
93,11,32,Re,0,1
93,13,32,PAa,0,1
93,15,32,Clc,0,1
93,16,32,Cim,0,1
93,17,32,Cif,0,1
93,18,32,Cdc,0,1
93,22,32,IL,0,1
93,23,32,Pf,0,1
93,24,32,Pcn,0,1
93,25,32,CM,0,1
93,27,32,Csl,0,1
93,28,32,Cs,0,1
93,31,32,SG,0,1
93,32,32,Li,0,1
93,41,32,PM,0,1
93,50,32,MD,1,1
93,51,32,MDdc,0,1
93,52,32,MDcd,1,1
93,54,32,MDpc,1,1
93,56,32,MDmc,1,1
93,60,32,X,0,1
93,68,32,VL,0,1
93,73,32,VA,0,1
93,76,32,VAmc,1,1
93,81,32,PFCorb,0,1
93,82,32,14,1,1
93,83,32,14O,1,1
93,84,32,14r,1,1
93,85,32,OFap,0,1
93,89,32,13,1,1
93,90,32,13L,1,1
93,91,32,13M,1,0
93,92,32,13a,1,1
94,3,FD,Hyp,0,1
94,18,FD,Cdc,0,1
94,23,FD,Pf,0,1
94,24,FD,Pcn,0,1
94,25,FD,CM,0,1
94,32,FD,Li,0,1
94,41,FD,PM,0,1
94,51,FD,MDdc,0,1
94,54,FD,MDpc,0,1
94,56,FD,MDmc,0,1
94,73,FD,VA,0,1
95,8,10,AM,0,1
95,12,10,PT,0,1
95,15,10,Clc,0,1
95,20,10,MG,0,1
95,24,10,Pcn,0,1
95,31,10,SG,0,1
95,32,10,Li,0,1
95,34,10,Pul,0,1
95,41,10,PM,0,1
95,50,10,MD,1,1
95,54,10,MDpc,1,0
95,56,10,MDmc,1,0
95,58,10,MDfi,0,1
95,73,10,VA,0,1
95,81,10,PFCorb,0,1
95,82,10,14,1,1
95,83,10,14O,1,0
95,88,10,Gu,0,1
95,89,10,13,0,1
95,93,10,32,1,1
96,84,10m,14r,1,1
96,90,10m,13L,1,0
96,91,10m,13M,1,0
