HCP_MMP1.0 + HCPex Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,HCPex_394_R_AV,HCPex_395_R_CeM,HCPex_396_R_CL,HCPex_397_R_CM,HCPex_398_R_LD,HCPex_399_R_LGN,HCPex_400_R_LP,HCPex_401_R_L-Sg,HCPex_402_R_MDl,HCPex_403_R_MDm,HCPex_404_R_MGN,HCPex_406_R_Pf,HCPex_407_R_PuA,HCPex_408_R_PuI,HCPex_409_R_PuL,HCPex_410_R_PuM,HCPex_411_R_VA,HCPex_412_R_VLa,HCPex_413_R_VLp,HCPex_414_R_VPL,HCPex_415_R_Putam,HCPex_416_R_Caud,HCPex_417_R_NAc,HCPex_418_R_Gpe,HCPex_419_R_Gpi,HCPex_420_R_Amyg,HCPex_421_R_SNpc,HCPex_422_R_SNpr,HCPex_423_R_VTA,HCPex_424_R_MB,HCPex_425_R_Septum,HCPex_426_R_Nb
1,0.380247101,0.134825052,0.48194154,0.395273744,0.440040131,0.408080412,0.395391513,0.006901974,0.011764752,0.015960548,0.023336216,0.019463068,0.452663502,0.039104764,0.383988142,0.338082286,0.219908349,0.138958171,0.361021243,0.390320995,0.426043931,0.418711807,0.150220039,0.031314731,0.048041758,0.061602872,0.061248156,0.067960537,0.120265701,0.030789479,0.329496224,0.014734306,0.024249172,0.015972852,0.015355566,0.037694567,0.050437701,0.039500933,0.027501393,0.034264569,0.02699457,0.024883022,0.047309556,0.046985855,0.053741409,0.134715122,0.040039318,0.065404369,0.070637885,0.127269995,0.02091103,0.024519995,0.011579716,0.012087522,0.027132246,0.015387686,0.012740085,0.023847255,0.015573333,0.020653903,0.037190219,0.012055188,0.019728087,0.055684212,0.203397527,0.032011315,0.027692782,0.031215521,0.017767131,0.083956029,0.109396156,0.027086972,0.02674997,0.025801804,0.041069151,0.023632129,0.046974305,0.029397664,0.024660057,0.027947028,0.023729131,0.047700606,0.030409187,0.082537518,0.113338343,0.148071671,0.046782778,0.045539541,0.02744771,0.023244368,0.032011682,0.029889035,0.016917406,0.021629276,0.046177277,0.038325789,0.035027783,0.059898458,0.021682634,0.022839878,0.027947568,0.033590984,0.031531356,0.039323609,0.035668672,0.032242306,0.031666927,0.033180352,0.039655289,0.007371113,0.012895714,0.007515742,0.046510198,0.053215456,0.046870198,0.022960667,0.027965397,0.033283903,0.032354992,0.024218804,0.067960531,0.022498781,0.024660952,0.038206656,0.060550966,0.030325093,0.04895668,0.035594053,0.085047123,0.11243647,0.015163251,0.071581002,0.144362743,0.187344373,0.214065875,0.174521894,0.152432266,0.186488187,0.081617173,0.076229167,0.088977294,0.415936826,0.112232463,0.030126982,0.061637428,0.17712475,0.023141897,0.028135227,0.019749232,0.043755186,0.034348048,0.400930111,0.185046368,0.317948854,0.063121704,0.383807737,0.160609516,0.413995146,0.365360307,0.157037935,0.014646846,0.013719401,0.244401234,0.044775692,0.117191843,0.014708036,0.028285015,0.030753302,0.021679445,0.071882851,0.094313721,0.068460267,0.03202084,0.038332029,0.046531547,0.067938582,0.121010406,0.027180894,0.012222683,0.022386256,0.034413221,0.052989115,0.061215546,0.045451004,0.045126599,0.12875678,0.139890359,0.092136003,0.029829592,0.041428993,0.056739041,0.044589687,0.082142936,0.179975004,0.089866245,0.187621635,0.033590913,0.027400002,0.040703079,0.066523056,0.056546693,0.086313957,0.017708868,0.062577742,0.063131881,0.043790907,0.043886431,0.056690326,0.162071095,0.18606009,0.01784043,0.012136285
2,0.156227667,0.126710297,0.108176376,0.170064134,0.172190591,0.121166496,0.0825678,0.024812611,0.030384487,0.025536417,0.034151638,0.031976799,0.137329858,0.02776224,0.098534786,0.148823995,0.139437376,0.055871318,0.145396063,0.073831424,0.104516728,0.11079658,0.119896863,0.148605704,0.147159527,0.02919029,0.069508135,0.146246324,0.075929402,0.026439226,0.076608421,0.016963874,0.024872245,0.019727235,0.021051426,0.033104119,0.050310818,0.068467515,0.023244366,0.03937431,0.022955338,0.021195154,0.034482727,0.049910391,0.045490962,0.084549891,0.053072001,0.081769445,0.057580524,0.106956779,0.04033133,0.045759278,0.031091724,0.022996592,0.025394208,0.029216554,0.010892469,0.026720243,0.016724708,0.013186132,0.04058191,0.007198094,0.031367882,0.058253961,0.232089317,0.095052043,0.031434202,0.03839058,0.043546522,0.1789891,0.291312696,0.088214994,0.033480717,0.030960198,0.107789517,0.068257853,0.133129698,0.044679223,0.029836021,0.03731168,0.028021216,0.106408742,0.039754787,0.135855452,0.282031961,0.36056333,0.138073801,0.069445874,0.064252499,0.050641452,0.094380324,0.088007014,0.038819693,0.071231305,0.071180669,0.037946706,0.039484278,0.026416794,0.079581874,0.098743389,0.126188479,0.116248961,0.188536384,0.140449837,0.129778273,0.110972256,0.225329572,0.075954354,0.090080971,0.026692532,0.051362731,0.046200188,0.104947017,0.101890019,0.102861606,0.061228308,0.059378966,0.032027462,0.035353138,0.023806496,0.05841118,0.01798211,0.168834901,0.161650808,0.186890159,0.020837204,0.04521013,0.177752063,0.163867178,0.15220354,0.056455055,0.131458937,0.136378736,0.225048893,0.24280617,0.183904487,0.136559346,0.167623156,0.143472533,0.118636653,0.137017209,0.100906509,0.143961573,0.061802142,0.083948774,0.141146363,0.074037363,0.097164966,0.061410928,0.097399497,0.083587302,0.138914941,0.076041084,0.075797343,0.059359282,0.14454393,0.114935837,0.11950413,0.145265612,0.057793344,0.020350077,0.018040076,0.054532092,0.059630818,0.13401666,0.023577053,0.197496986,0.112921098,0.054836819,0.186792042,0.269101418,0.142541675,0.167789237,0.150341606,0.1736033,0.138291206,0.13579425,0.200791545,0.009843399,0.025381474,0.005337541,0.012901632,0.007711705,0.018255971,0.0090002,0.055232813,0.009562848,0.032307812,0.006739285,0.011233699,0.041251772,0.012136534,0.026210314,0.068098389,0.027723255,0.021577129,0.007333562,0.00818912,0.021556381,0.017197614,0.021677892,0.01703421,0.011933153,0.017717117,0.009730446,0.022827037,0.005721565,0.006546521,0.013669105,0.017693522,0.015366884,0.014170447
3,0.390347486,0.113719385,0.310809918,0.431282539,0.463578243,0.407735268,0.474596166,0.017072605,0.022632451,0.041514108,0.050636227,0.040947712,0.387950559,0.028319579,0.277868045,0.316224715,0.209169124,0.142653932,0.332130154,0.302339666,0.356863961,0.378198756,0.124100897,0.027595047,0.054694806,0.280324766,0.144777837,0.078270885,0.169641266,0.030531739,0.226133934,0.011937341,0.018164867,0.012361966,0.010505684,0.129505505,0.175922741,0.099477395,0.091119468,0.098679565,0.074571943,0.071114602,0.18652577,0.194739491,0.130707937,0.164799427,0.064945306,0.081468051,0.121006834,0.133346357,0.037742118,0.043464527,0.021807532,0.034345882,0.084889449,0.03395436,0.009956867,0.019510194,0.01173437,0.050708877,0.030102116,0.007274075,0.057945623,0.046852327,0.181455699,0.011599567,0.070053103,0.098845518,0.011735615,0.091043653,0.086856918,0.017820958,0.062265001,0.068748559,0.039100781,0.015942634,0.031849465,0.063230061,0.063090005,0.064444376,0.063269387,0.059418341,0.068217571,0.105164299,0.099155104,0.120438413,0.0342223,0.034039728,0.017841877,0.013078689,0.011866831,0.011135189,0.007051439,0.00790264,0.060663655,0.145206631,0.09885054,0.26523359,0.028216176,0.025702737,0.027316312,0.035119017,0.022106343,0.03966229,0.039586607,0.031247969,0.01851616,0.037486265,0.045030437,0.00354671,0.009340372,0.003407326,0.055305767,0.062384946,0.054518611,0.038449014,0.041939347,0.01649559,0.015443503,0.012091039,0.04068636,0.011538503,0.012768672,0.034625028,0.052197742,0.014551191,0.029721132,0.024395587,0.080790643,0.110544971,0.007413086,0.048852749,0.126102198,0.125451874,0.131838822,0.119105081,0.150557115,0.146472698,0.092200414,0.082855253,0.078971373,0.284367926,0.093451033,0.044439346,0.072093923,0.168043899,0.034917287,0.038271654,0.029340286,0.050338085,0.036917151,0.34217546,0.195467985,0.378656287,0.035540671,0.334751754,0.133991326,0.356920357,0.311182234,0.172660711,0.0098415,0.010837056,0.288199084,0.032534857,0.100730094,0.006671805,0.015929851,0.032324689,0.020915826,0.054599549,0.072281195,0.03836486,0.025537599,0.037120346,0.041395082,0.055683364,0.099108756,0.013856979,0.008143663,0.017571456,0.025621664,0.040701917,0.045186306,0.03582955,0.034725152,0.115049066,0.100664572,0.081284888,0.022552885,0.031230997,0.040013324,0.03550205,0.071883317,0.180606926,0.077887013,0.141837149,0.025317741,0.021637362,0.03334194,0.051947132,0.044814272,0.0646619,0.012840057,0.048370936,0.045936526,0.041851714,0.031395137,0.039974624,0.112932687,0.130601294,0.013033418,0.008375613
4,0.400197204,0.139066047,0.533426321,0.412709506,0.461383737,0.429799765,0.402002106,0.005075253,0.009932993,0.011964062,0.019183627,0.016099223,0.483024319,0.037657213,0.420657346,0.354095089,0.228902884,0.144677868,0.380012902,0.416920891,0.455895209,0.445941904,0.155389898,0.02910474,0.044601968,0.039348596,0.048620529,0.065024408,0.117270031,0.029340759,0.370603104,0.009830353,0.021157546,0.011388887,0.010708258,0.02552455,0.033116761,0.025770521,0.019299125,0.02185014,0.016445337,0.019063916,0.030267324,0.031055743,0.044277529,0.135044773,0.036662912,0.063493122,0.065292828,0.129596775,0.018181603,0.021409808,0.009802696,0.008479718,0.01899116,0.01237774,0.007856723,0.019469203,0.010819254,0.012349223,0.032574166,0.007417276,0.013190702,0.051385981,0.199863026,0.025779274,0.021723162,0.021506691,0.01259705,0.078338648,0.105738207,0.023490259,0.021693736,0.019792652,0.038387647,0.021241619,0.042590577,0.024384519,0.019276375,0.022694741,0.018229444,0.043936574,0.025004375,0.078197816,0.108877464,0.144537727,0.044243124,0.040128138,0.02272566,0.017602276,0.025819943,0.024236022,0.013529547,0.017509685,0.043904465,0.026133261,0.026665507,0.038480465,0.019431351,0.020644697,0.025689939,0.031501318,0.02906028,0.03694159,0.032821306,0.030592093,0.028603668,0.0314214,0.037822527,0.006192117,0.012044279,0.00631547,0.04419913,0.051147717,0.044751598,0.019563384,0.025287243,0.027257265,0.02564496,0.020193527,0.064549127,0.019127083,0.022242834,0.035904845,0.059251556,0.023285314,0.045730107,0.033460388,0.084784751,0.113333723,0.013259407,0.07171565,0.147954576,0.193758513,0.221052285,0.181032695,0.155695922,0.191331751,0.079494069,0.075317063,0.090254908,0.458797174,0.114908209,0.027398932,0.060377453,0.183391287,0.020137628,0.024814024,0.017371538,0.041862357,0.033006156,0.42882985,0.190319932,0.32318757,0.058855941,0.405613415,0.166500689,0.439889014,0.384063319,0.160012404,0.010095731,0.008899968,0.249443217,0.038298132,0.112103358,0.011521436,0.025754825,0.028653459,0.020636851,0.068696929,0.08951947,0.066921087,0.029747167,0.03587771,0.044529452,0.067913474,0.123503602,0.024518268,0.007480206,0.017776599,0.035379026,0.054820473,0.062945794,0.04718419,0.046257698,0.132878447,0.145384033,0.094837568,0.030905802,0.042575625,0.058836629,0.046302796,0.084749287,0.1838387,0.092876456,0.194818967,0.034780276,0.028339597,0.0418849,0.069565526,0.058011017,0.089900645,0.017385226,0.064714491,0.066463555,0.043177444,0.046213946,0.059859314,0.172122938,0.197532427,0.01725259,0.011258096
5,0.414546914,0.143919087,0.540403853,0.428929364,0.479341541,0.457276566,0.439872314,0.002578253,0.007528229,0.006789873,0.013991376,0.011956881,0.49438945,0.033718284,0.42454921,0.372617419,0.234345117,0.157003644,0.400526571,0.424982152,0.476565074,0.470749885,0.163646546,0.02191989,0.035212797,0.013734035,0.0330543,0.055861575,0.108480719,0.0257549,0.396244747,0.003761898,0.016190846,0.005563876,0.004680586,0.011109313,0.012649026,0.009103468,0.009606542,0.007288398,0.004485056,0.012129791,0.010256054,0.012164042,0.032480362,0.129690392,0.032167652,0.058392607,0.057483914,0.127033007,0.014485963,0.016872483,0.007366997,0.003629831,0.0085636,0.008404259,0.002063229,0.01309581,0.004806215,0.003036092,0.023809322,0.001896835,0.004742428,0.040830794,0.17206854,0.005594848,0.015522326,0.010054634,0.005143747,0.079241552,0.099086054,0.014051294,0.015943697,0.012833528,0.031789685,0.013928741,0.029513835,0.017878259,0.012864611,0.016262701,0.011885985,0.0378116,0.019778236,0.08252677,0.099539567,0.139322784,0.035509096,0.026296762,0.011452547,0.004846318,0.005868623,0.005881743,0.003696266,0.004099108,0.038852009,0.011491307,0.017252139,0.013883462,0.014186027,0.014830017,0.01892268,0.025077467,0.020391578,0.029392248,0.025030449,0.024779864,0.018019465,0.026671594,0.03238905,0.002500259,0.008948284,0.0025129,0.037643227,0.044916126,0.038442498,0.013123753,0.020206017,0.019122883,0.019065625,0.013633274,0.06503131,0.012808588,0.013928263,0.028159373,0.051543778,0.012534618,0.038230578,0.025857772,0.078537404,0.108502391,0.008354903,0.074651141,0.153845708,0.204274241,0.220068964,0.19493371,0.153884142,0.220420094,0.071261715,0.069354859,0.087654583,0.466898958,0.116618707,0.022160888,0.055663394,0.185986622,0.014009988,0.017245584,0.012305699,0.036098835,0.028441684,0.437726499,0.201066465,0.35222163,0.048332322,0.442294784,0.17763246,0.463248018,0.41561872,0.169456193,0.004281032,0.003124262,0.270653943,0.024351367,0.091997132,0.003658093,0.016353155,0.02236888,0.017144927,0.05784929,0.074151006,0.061377945,0.022033535,0.028056169,0.036671846,0.065794986,0.129874676,0.014984418,0.001880361,0.01110431,0.034492316,0.055652382,0.061704212,0.049625515,0.044933099,0.128587486,0.143036602,0.093604009,0.031507964,0.043720896,0.054869222,0.047505855,0.086234087,0.179766264,0.094290656,0.192053453,0.035526646,0.029530602,0.045717158,0.070789058,0.056377835,0.09169734,0.014907081,0.063822265,0.065269709,0.039731888,0.045185761,0.058493558,0.168842395,0.194587345,0.014095924,0.007813634
6,0.394434677,0.167994497,0.489712336,0.407779594,0.455088098,0.433831514,0.384791865,0.002492267,0.008377793,0.006794976,0.015845358,0.013514158,0.474388091,0.036182771,0.37434233,0.399972672,0.243067907,0.294663721,0.421868951,0.386296982,0.448321328,0.44577829,0.197947117,0.025258892,0.040376848,0.005964791,0.031181512,0.061184467,0.102164303,0.026262106,0.413966615,0.004351961,0.017411845,0.00633702,0.005550351,0.007896113,0.008035033,0.007401502,0.007586804,0.005143744,0.002821398,0.011260952,0.005231729,0.00654613,0.030972906,0.126853547,0.037551364,0.068401351,0.06010743,0.133127273,0.016472024,0.019424833,0.00823344,0.003107172,0.006884312,0.009156904,0.002439269,0.014107413,0.005391151,0.002008898,0.0215099,0.00217818,0.003781712,0.035163462,0.146469598,0.007552528,0.017435927,0.009634217,0.005684043,0.103342605,0.112790799,0.015004186,0.017930854,0.013558654,0.036613394,0.015601204,0.030796723,0.02007131,0.013759709,0.017992004,0.012594809,0.043341332,0.022824918,0.105502057,0.111308022,0.15747422,0.03598323,0.024570449,0.012276369,0.005867694,0.007839356,0.007815863,0.004711514,0.005487401,0.045924847,0.008119824,0.018232678,0.007344668,0.016696097,0.01748877,0.022086841,0.028555166,0.024134237,0.033338313,0.029136156,0.027879708,0.022424659,0.029989593,0.036335701,0.00310311,0.010226359,0.003158332,0.042365511,0.050198315,0.043146606,0.01544083,0.023753879,0.031407378,0.032896339,0.022514458,0.088394759,0.019826149,0.01826626,0.031760358,0.056247203,0.02021269,0.058859911,0.030916357,0.084331464,0.115744734,0.011364315,0.09987163,0.179541326,0.280527828,0.323840026,0.270100952,0.162698851,0.283386853,0.077041597,0.074080199,0.096564367,0.427131247,0.137764575,0.026096842,0.064182339,0.195715201,0.016586223,0.020712678,0.014581375,0.040250879,0.032329917,0.416609164,0.213866656,0.329909638,0.073164847,0.486806694,0.212680953,0.456191864,0.479481114,0.212199406,0.005124435,0.003742318,0.31073685,0.024177149,0.079271849,0.004560505,0.020345144,0.025613618,0.019149891,0.057379712,0.080006484,0.08784319,0.025536301,0.031927281,0.0403612,0.077090292,0.158664695,0.01942239,0.002297788,0.011299606,0.032499801,0.056072702,0.056753768,0.05487529,0.044956451,0.16170847,0.12287822,0.115309351,0.030962669,0.04427312,0.053614197,0.051036605,0.105646142,0.262059876,0.11385309,0.179548954,0.034791719,0.03166237,0.055257023,0.073879675,0.055928476,0.087574151,0.016027405,0.061076539,0.058754667,0.059591555,0.040050721,0.050552455,0.141715567,0.165681621,0.016724665,0.009940101
7,0.440054853,0.206264933,0.596060195,0.439533396,0.47494546,0.418800825,0.143383971,0.002570769,0.010448555,0.007381565,0.01859944,0.016112337,0.473596319,0.059497631,0.445173384,0.472914905,0.274411539,0.61212464,0.490030185,0.267305563,0.418763484,0.437965912,0.255292729,0.025376263,0.043893663,0.001746809,0.032234357,0.065952617,0.115923883,0.039156615,0.742793855,0.004382952,0.02640123,0.007378361,0.006140664,0.005950545,0.004317225,0.003976577,0.006916044,0.002918137,0.001423404,0.012507686,0.002369832,0.001576175,0.0344267,0.144990602,0.051680562,0.091483002,0.074230145,0.155836968,0.02147136,0.025474838,0.010199248,0.002764329,0.00592517,0.010689347,0.002178338,0.016524587,0.005171753,0.001183996,0.008676423,0.001656965,0.002715141,0.008726549,0.03288983,0.00553677,0.018554361,0.008143638,0.002699991,0.109233006,0.077750904,0.005842861,0.01989935,0.013276704,0.030643713,0.012411092,0.012283328,0.023105744,0.0147019,0.020020308,0.012585249,0.037905772,0.023032174,0.112146445,0.074738405,0.108347645,0.011515495,0.00882934,0.005392756,0.003883095,0.005830792,0.006147831,0.003884832,0.004103226,0.060257214,0.005706503,0.019251418,0.004102603,0.018520289,0.018281874,0.022409769,0.030517809,0.022108551,0.035166002,0.031461853,0.029152052,0.018743264,0.032393439,0.040689231,0.002808645,0.010050571,0.002467124,0.04840117,0.057873623,0.049224547,0.018338373,0.029624308,0.025973864,0.014483287,0.022072998,0.082486706,0.026214042,0.015314624,0.032435018,0.058165089,0.022210416,0.086044894,0.031064327,0.090336629,0.126061969,0.011150157,0.1204745,0.213499642,0.380567654,0.455234062,0.374530384,0.17830264,0.345497496,0.083921646,0.080211807,0.107827091,0.54380145,0.170649616,0.032676537,0.082570537,0.223120032,0.019163123,0.023323344,0.016828168,0.044734266,0.037053067,0.452055967,0.23518634,0.190348642,0.102048643,0.602652253,0.269281144,0.451737324,0.610167188,0.285212852,0.005764435,0.003690589,0.349673192,0.017783825,0.020542877,0.004329022,0.016258215,0.027098017,0.019629214,0.017760458,0.042971251,0.107274842,0.025022594,0.033140463,0.041170094,0.088370547,0.192117498,0.015512263,0.001943505,0.009207736,0.016136539,0.025510618,0.024757154,0.034440544,0.029181732,0.1941281,0.03526651,0.126357461,0.010987615,0.018204197,0.028934965,0.032608039,0.107347625,0.387054688,0.113520423,0.092100451,0.011882228,0.017065619,0.038950778,0.047426962,0.019578543,0.024386229,0.009768865,0.019120073,0.02033878,0.088311764,0.012826084,0.013339064,0.029232061,0.038798903,0.014486969,0.009843198
8,0.003129719,0.008355634,0.005752704,0.002369257,0.001212072,0.001384229,0.001464267,0.148158001,0.138053754,0.124486496,0.119521103,0.133932076,0.001979265,0.015457031,0.014338632,0.004398045,0.008527895,0.000959966,0.003974859,0.000934612,0.001069343,0.001152144,0.008921465,0.009461305,0.015396977,0.177336861,0.203854163,0.014799528,0.074344583,0.035826137,0.001981273,0.026673775,0.015611478,0.021221548,0.01494147,0.084297113,0.155751894,0.385777535,0.054350933,0.24281887,0.20151027,0.045718332,0.188711609,0.186939098,0.070095452,0.039700749,0.058155648,0.032602266,0.05247516,0.019414725,0.091767262,0.070066678,0.138147921,0.129330638,0.098732698,0.136656545,0.024780056,0.023854814,0.020789043,0.122453138,0.021640512,0.030236777,0.035107246,0.018535955,0.009643016,0.003021953,0.055947901,0.053850939,0.02998849,0.019784337,0.008830994,0.008465248,0.060201286,0.051607879,0.049356715,0.014546338,0.006593676,0.068827914,0.057168756,0.06503536,0.056003971,0.046145026,0.053383839,0.036179351,0.0239741,0.010053381,0.00577686,0.00476734,0.004114824,0.002688243,0.003086706,0.002814038,0.001595747,0.002206147,0.038544478,0.143394499,0.08549292,0.141353978,0.022493685,0.016300608,0.012666335,0.014035551,0.004751741,0.012492815,0.015689704,0.012595883,0.002856638,0.027795511,0.021540004,0.00143404,0.010888365,0.001818832,0.019328416,0.020482855,0.01873579,0.03696707,0.04616811,0.000683864,0.00092445,0.000420188,0.001841112,0.000229997,0.004144585,0.008956528,0.005303692,0.000376777,0.001048452,0.00453945,0.008567185,0.010601534,0.00124218,0.004310518,0.008225577,0.001470482,0.000817098,0.001339431,0.011106845,0.00679256,0.014246505,0.015079402,0.008309139,0.008163247,0.007336097,0.045740751,0.027926944,0.008900242,0.026074144,0.0217612,0.027713037,0.017473451,0.018536365,0.006422707,0.002219397,0.001663846,0.000496402,0.003937577,0.009013069,0.002017281,0.004024672,0.001456726,0.01433653,0.029024017,0.00115637,0.00976245,0.009217941,0.001352389,0.003160663,0.014205631,0.031895085,0.006545278,0.021407081,0.000975148,0.007072911,0.011342034,0.006944732,0.008116229,0.007104519,0.0028541,0.020549013,0.025505265,0.001469286,0.04996291,0.003311419,0.105229859,0.002890851,0.00479106,0.002447225,0.040544003,0.018680196,0.026277529,0.010362805,0.052017857,0.066903774,0.006663456,0.065039174,0.004876808,0.018886139,0.043402675,0.103297401,0.07527103,0.120262353,0.041888036,0.019431784,0.15526652,0.057400682,0.002883307,0.018251085,0.020306873,0.004237429,0.016880054,0.009054181,0.012676769
9,0.005904682,0.014819389,0.010673369,0.004811318,0.003530901,0.004146642,0.005603891,0.124684154,0.113368156,0.127338485,0.114889799,0.123764283,0.005887698,0.016899532,0.020143525,0.009161998,0.014409052,0.003215969,0.008713,0.00294342,0.003400749,0.003649832,0.015148482,0.01860936,0.028341968,0.162671544,0.193757859,0.028119743,0.077333244,0.033126514,0.003627268,0.030024427,0.015890008,0.022524063,0.016824815,0.102088455,0.167828244,0.351100748,0.066632271,0.21982302,0.169298726,0.053245898,0.189060514,0.201981099,0.079600478,0.045733383,0.060906549,0.04089409,0.058343888,0.025693494,0.085626521,0.07316322,0.113682651,0.130629125,0.135349246,0.12412766,0.030587856,0.027487389,0.026018028,0.103781305,0.02893265,0.034688727,0.068629172,0.028297891,0.023478308,0.012579161,0.057150164,0.052824345,0.034630362,0.034263931,0.030305391,0.022530797,0.061929982,0.053672621,0.047635538,0.018063896,0.024537145,0.072485681,0.059248597,0.06743378,0.057997868,0.053210484,0.055376413,0.043709153,0.042376388,0.034457862,0.024135672,0.013908673,0.019127565,0.011497876,0.012716754,0.011405836,0.0058899,0.009049099,0.049249729,0.159195644,0.085581452,0.119850468,0.036850111,0.029537717,0.02361964,0.025474429,0.012552499,0.022687457,0.027976261,0.022419006,0.010431847,0.033923448,0.031408271,0.004481612,0.01254994,0.006125465,0.032057478,0.032103232,0.03116657,0.056937807,0.058879956,0.003433935,0.005277541,0.001886426,0.009899871,0.000904103,0.009926954,0.017731631,0.013474558,0.001727649,0.004037824,0.011493592,0.017161296,0.019480916,0.003419144,0.008384573,0.014600231,0.005079725,0.004647097,0.004795573,0.019982342,0.01357206,0.02670921,0.026846286,0.016126093,0.013015808,0.013763922,0.058456063,0.037018913,0.014918671,0.044102262,0.040819841,0.045028459,0.030718756,0.030003626,0.011788615,0.005032091,0.00533936,0.002010712,0.008289845,0.014935286,0.005335026,0.00892607,0.003992199,0.015338968,0.028633865,0.004014423,0.01484509,0.018407157,0.004162364,0.00956898,0.026114815,0.031097266,0.029169838,0.039450503,0.006373817,0.015321301,0.020725794,0.015634216,0.014878598,0.012776587,0.008964489,0.026017859,0.030214928,0.001631847,0.043075066,0.002936816,0.065040679,0.002909331,0.004132761,0.002337485,0.028126694,0.017836415,0.023467534,0.007085121,0.036625335,0.041074298,0.007190963,0.039837498,0.004777148,0.018201376,0.029592381,0.061599509,0.044637483,0.10876876,0.041462189,0.019845961,0.136700562,0.047495714,0.004577778,0.014348957,0.015085374,0.004547469,0.011853344,0.01136965,0.014379859
10,0.005311742,0.014505341,0.009721929,0.004147121,0.002372378,0.002784814,0.00329408,0.320751418,0.299188274,0.267214403,0.253715103,0.28432861,0.003765423,0.022868979,0.021577609,0.007679394,0.015611034,0.002158778,0.007126306,0.001856163,0.002153926,0.002355706,0.014416872,0.020514189,0.031296219,0.412371698,0.216298669,0.030217095,0.089515738,0.037753322,0.003003716,0.038995487,0.020557881,0.029896007,0.02278828,0.139960794,0.210513046,0.432663063,0.100997928,0.360871459,0.369731499,0.088971545,0.399605482,0.445545403,0.110044872,0.058492979,0.130541213,0.071354541,0.089214307,0.037374988,0.203432383,0.159106155,0.299444505,0.278182145,0.206773381,0.292352757,0.040701545,0.040348556,0.038960668,0.257015601,0.041299389,0.060088991,0.12066433,0.036193369,0.023892681,0.008103784,0.13039171,0.130662212,0.064052476,0.053579167,0.02755063,0.021468596,0.137078853,0.124546011,0.121436637,0.036309794,0.017385254,0.153292414,0.132456828,0.146727173,0.131885666,0.109199925,0.125591866,0.088990924,0.059625286,0.030529267,0.01955872,0.011662717,0.010757545,0.007153146,0.008243174,0.007469768,0.004068933,0.006019677,0.087629115,0.330398702,0.193419947,0.32670058,0.048619158,0.034612019,0.02704943,0.029840729,0.011798101,0.025828606,0.032509063,0.027922377,0.007678941,0.064671277,0.047734799,0.003783766,0.027368484,0.005225318,0.041084883,0.043907431,0.040076022,0.086295011,0.105634234,0.001411619,0.001929148,0.000918118,0.003716466,0.000523166,0.007772408,0.018972073,0.01185392,0.000800443,0.002384993,0.009197104,0.017182183,0.020700477,0.002427506,0.007702783,0.015381739,0.00305024,0.001778704,0.002914253,0.022454988,0.01204159,0.029160034,0.032533528,0.017547167,0.013068901,0.013011926,0.104405062,0.062972207,0.016684846,0.057425208,0.04735283,0.061666676,0.037908844,0.042822664,0.011365986,0.004050957,0.003463593,0.001059224,0.006704948,0.014772726,0.003795875,0.006963216,0.002840076,0.020381559,0.035206266,0.002476883,0.017581252,0.020287964,0.003217521,0.007953765,0.03024176,0.078409482,0.020427849,0.054033844,0.002047528,0.016052524,0.023302211,0.015396621,0.014146008,0.012957868,0.006445686,0.043845974,0.047666376,0.002801371,0.067106311,0.006378819,0.246803099,0.005579601,0.008617346,0.005046623,0.072586947,0.030007817,0.034881346,0.019975995,0.100621443,0.138339504,0.011374621,0.136637126,0.009897226,0.030399963,0.094876352,0.236397325,0.167068162,0.133713719,0.06232425,0.021534028,0.16681686,0.071862722,0.005424175,0.037999638,0.047382303,0.00982144,0.03535977,0.012010401,0.014176727
