"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426"
"1",0,117.139402149978,40.9463650901516,21.6088301337311,31.5952794656615,44.5452115578056,69.1190682213358,0,0,0,0,0,43.7868778242466,0,108.191522430356,84.7546049523225,110.526593305663,86.6214684273036,98.3306772693687,73.7601217915076,72.0723602781937,65.3024066514671,116.472396847524,0,0,0,0,0,166.706103197829,0,73.7687190744215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.015823238427,0,0,0,145.481455967651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.744812000404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.732602882053,105.956899024637,113.468802242466,103.938286416449,94.6044488572221,0,94.7659679468926,0,0,0,63.5268782957382,130.761968506226,0,0,125.519029272559,0,0,0,0,0,79.7819387446365,0,62.8055747395977,0,99.1269609250932,110.290587192161,95.3520418809074,108.439418008277,0,0,0,79.2804868013036,0,166.52983697832,0,0,0,0,0,0,0,0,0,0,0,111.952258581674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.515020970121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.29737473536,138.955513000125,0,0,151.746534492695,0,148.225045441166,159.716589972538,162.599828678684,167.234618809418,169.14995446855,0,0,0,0,0,159.865450598185,111.573993560118,141.970725027741,155.524297331551,153.088734291793,173.355012199744,157.959822526397,0,0,173.513833251016,0,0,0,0,0,0,159.873767976688,145.354287649818,118.927361129223,0,0,0,0,0,0,0,0,0,0,0,0,0,177.579593666337,160.738591824491,0,167.143660242893,0,158.958164352255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.731890080442,155.975978681889,114.304457274103,0,0,0,0,0,164.572028446735,204.831646609618,0,0,217.035361517014,0,186.616704202647,201.141796967251,189.713728104142,176.199644003747,0,172.224544557252,0,0,0,127.170065126064,169.090396647455,0,161.400585736786,157.566486552841,0,0,0,0,171.785969786822,157.440157465604,153.503340433395,0,0,0,0,166.333783664093,0,0,0,0,174.264885757634,0,0,0,184.018010314243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.408387294728,0,0,0,0,0,0,0,0,175.369340263949,0,152.787974679948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",117.139402149978,0,0,114.557375687489,101.578485578755,0,67.7785587925953,0,0,0,0,0,80.0942307816025,0,97.0254208735261,64.7891758263982,66.41986247605,45.6965579393099,51.6843525627064,0,0,0,17.3049202479998,94.2120579731119,0,0,0,100.349556512031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.028412435247,0,0,0,186.036385972313,0,173.999177948705,0,0,0,0,0,165.297279092228,0,0,0,0,0,0,150.501219558196,163.793314542889,164.783465081668,172.07870123898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.0454564531411,0,0,0,101.21511631263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.166561121935,96.4605134982419,95.8273650121433,0,0,92.377463593741,81.7206960852056,82.0589438230122,0,95.8290760964701,63.6379800729535,87.641559674241,74.7530915678751,53.9154087141121,40.6929227118627,0,80.5735162483469,19.4364123861824,24.4356675836193,0,38.8149008590504,0,0,49.9122402130664,0,0,0,42.5898144715283,51.2149791203469,77.9530974393681,0,0,0,20.6351516943517,19.1830415772286,0,0,0,0,0,0,133.363296063741,160.910205114455,0,79.1739324156922,0,0,0,167.242320388025,105.894142542137,92.7795580319036,93.380268545341,99.775740579595,91.4268866488679,84.5190236583355,89.1241452580151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",40.9463650901516,0,0,32.7511574199403,38.4007897816048,70.7662390557498,78.6396547810095,0,0,0,0,0,34.5698072192088,0,58.8695078908503,36.1963751577616,49.1700482326732,87.0229034443468,44.1279751817213,61.3334858916034,71.0261804580974,76.4682549945884,76.3401753945469,0,0,169.381523364284,157.51278925159,0,112.687027513241,0,50.1845794271621,0,0,0,0,175.036526733553,170.627883578392,0,179.484537240113,0,0,0,153.450143892992,159.715380411692,142.57062006077,89.2025043898114,0,0,0,77.5578374830084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.759927384165,164.075629762051,0,0,182.26144258838,0,0,0,0,0,0,0,0,0,0,0,0,165.195411976572,0,0,0,0,0,0,0,0,0,0,0,142.191593626552,143.042225672618,158.913204941249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.495175239101,0,0,106.470386694518,0,86.9054373166014,0,0,0,30.042671780787,68.5291959488238,0,0,56.0170670965173,0,0,0,0,0,28.5665691556391,0,80.6545323451242,0,71.1474048082531,87.2881163377473,55.3864158276035,66.8110596549861,0,0,0,88.5654236168193,0,188.107592842796,0,0,0,0,0,0,0,0,0,0,0,113.626230691426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.3716535164417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.23936970725,0,137.587588339722,151.718768485482,154.062143720813,158.508253377667,0,0,0,0,0,0,150.566630088917,91.6204554454811,127.318199254753,144.066270141069,140.66211609268,0,0,0,0,0,0,0,0,0,0,0,0,0,106.120446130883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.399848844546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.081249088532,0,0,0,0,0,0,0,0,0,146.05429137782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",21.6088301337311,114.557375687489,32.7511574199403,0,25.469665668632,35.4996990119189,58.0178683246896,0,0,0,0,0,38.7936985776272,0,106.176463165377,79.8324894816714,106.61613328092,81.274150355249,87.6459456207116,65.6533057570005,62.2603240349334,55.0664606325079,109.332936544637,0,0,0,0,0,173.586587804233,0,70.9994336061403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.977874935054,0,0,0,147.904556606135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.823436163196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.22535240462,112.297362301699,101.873781319067,93.3316439919296,0,92.5109018215815,0,0,0,52.1482272916637,126.511550900126,0,0,123.365304145246,0,0,0,0,0,72.6693994098932,0,55.9607033006569,0,89.7219344226838,107.4773304484,84.1315015752438,98.8222888001521,0,0,0,74.2760559611087,0,0,0,0,0,0,0,0,0,0,0,0,0,111.666061646451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.157555297301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.471986786426,134.000278243028,0,0,154.673804471958,0,150.623004340215,162.449833661443,165.293334344342,170.159790875221,0,0,0,0,0,0,162.576782094656,113.059487089804,144.903690614989,157.929422082151,156.394075713865,177.092655581354,0,0,0,0,0,0,0,0,0,0,165.164169781539,150.293708782946,120.382700139722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.840346948375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.430022230491,160.848394269478,117.434118714849,0,0,0,0,0,0,0,0,0,221.186305282743,0,0,204.151389570679,193.203863007991,0,0,175.470828456725,0,0,0,128.900807732454,171.104151297571,0,0,0,0,0,0,0,0,160.04823609259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.475496659963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.341422721544,0,0,0,0,0,0,0,0,0,0,155.233423275772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",31.5952794656615,101.578485578755,38.4007897816048,25.469665668632,0,28.5277363620426,46.8276072808258,0,0,0,0,0,32.0753193479916,0,112.037000080293,68.9849292439571,100.069984373926,72.1295898271771,62.5585608664569,47.8467175169775,46.6339241591222,44.3898845165333,90.6727406251392,0,0,0,0,0,168.252614116557,0,79.1596512803265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.265672436306,0,0,0,134.881235729897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.360782696817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.375528325587,103.369037906095,110.847479149154,99.9901970023776,91.0871916186256,0,83.9349287905416,0,0,0,76.8291101190018,112.02017035891,0,0,107.476214326998,0,0,0,0,0,71.3107842647459,0,47.2891124254696,0,66.9165133973186,97.6372954898483,59.1935749698689,76.3258669359662,0,0,0,68.7197576644681,0,0,0,0,0,0,0,0,0,0,0,0,0,109.978176128286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.223920702978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.479433814071,0,0,157.305860611432,0,152.5030877343,165.558316720636,167.870960674974,171.874299138121,0,0,0,0,0,0,164.676387833898,113.061619241022,145.01599932463,159.862120129269,156.547057998758,0,0,0,0,0,0,0,0,0,0,0,164.223885548773,149.729532409272,122.268166253195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.46390883466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.67831332012,0,120.871702761379,0,0,0,0,0,0,0,0,0,222.383361552588,0,0,206.109056284502,194.123918349461,0,0,176.698482485288,0,0,0,131.102355658319,172.402916564898,0,0,0,0,0,0,0,0,161.120458114042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188.450631964377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.203302804744,0,0,0,0,0,0,0,0,0,0,159.077762365309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",44.5452115578056,74.4875722973225,70.7662390557498,35.4996990119189,28.5277363620426,0,27.079144002463,0,0,0,0,0,40.8680403443466,0,114.266930331016,53.4448082796906,79.2363678421205,48.2727083769763,33.4471631081843,27.475017392644,30.5956757887511,30.1861573038445,55.363932556368,0,0,0,0,0,0,0,89.816187735773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.091610791004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.389570712745,0,0,0,0,0,0,0,0,0,0,0,0,190.622212564897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.402574234056,97.6802363403375,104.375658607531,91.74046478391,83.9081967665897,0,62.2718285845057,0,0,0,93.3477746474877,77.2216191878529,0,0,77.9197193829446,0,0,0,0,0,71.8550484310726,0,31.0718642392009,0,40.9271092476843,73.203405483546,28.8245693580084,42.8609211179044,0,0,0,49.6123671685502,0,0,0,0,0,0,0,0,116.123003644798,0,0,0,0,104.607213338932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5542996875039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.559597790726,139.768555673612,0,0,158.454854272536,0,153.761924845213,166.735118781527,168.699088283068,172.94421035716,0,0,0,0,0,0,165.816006663968,119.070297743777,147.985975019072,0,0,0,0,0,0,0,0,0,0,0,0,0,169.606322177554,0,125.338566322527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.022533033676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.209095553904,0,0,0,0,0,0,0,0,0,162.150617318396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.882240381027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",69.1190682213358,67.7785587925953,78.6396547810095,58.0178683246896,46.8276072808258,27.079144002463,0,0,0,0,0,0,60.7011706571212,0,112.095979327298,65.1131950497201,81.4931008197475,24.3971250960815,52.0694291011325,45.8563929807923,39.7591053438533,25.4399474021269,63.7158582273238,0,0,0,0,0,0,0,90.2228125565767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.97705743719,0,0,0,118.36666813126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.359999663988,0,0,0,0,0,0,0,0,0,0,0,0,185.286590383128,188.266603999373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.837812143359,99.6848290643194,98.4856017177648,78.6528712742116,73.9275293539263,109.530545376128,49.1768252720026,0,0,82.2284669346135,93.3044232451007,70.9945631427174,0,0,77.8542398471868,0,0,0,0,0,79.9655593607921,0,24.2523841558957,0,47.7094256124714,66.8061102113471,46.9387224312733,54.1826103660001,0,0,0,27.1314361947013,0,149.484847068787,0,0,0,0,0,0,108.69767607087,0,0,0,0,103.205615946494,0,0,0,0,0,0,0,0,98.3237792490174,0,0,0,0,0,0,0,0,99.6312120500298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.89938735962,138.787753513881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,38.6194355678753,43.2668323882367,53.5779252702646,41.4302453129574,0,0,0,0,0,0,0,0,0,0,0,0,0,112.259502695145,0,0,0,0,0,0,0,0,0,0,62.0781959748575,66.9694822493297,0,31.8879771164483,58.8673186954097,0,80.1109851823614,87.2949414766826,0,0,66.81378430277,0,0,0,50.3190106227056,51.7014841581458,25.5970674773986,32.2799713986518,41.9806043974712,37.4918611583712,0,0,0,91.3060961552969,0,135.841180980408,0,0,0,0,86.9770945206361,114.458624944967,0,0,0,0,0,0,0,0,0,75.3116312781551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.6245882353295,79.7347676438337,113.909749284781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.1655910745931,0,0,0,0,0,0,0,0,0,77.7517405775019,0,0,0,0,0,68.600306840036,66.199350309265,66.8911707192629,0,0,72.5655965724968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.67966401249,124.316360416952,113.167927258023,122.091408813755,118.286875211805,0,68.4344762838643,0,0,0,0,0,0,0,0,0,0,0,144.928851195725,130.487851492855,0,0,0,0,91.1443786990068,0,0,0,120.898355480896,110.02232295749,94.7384939823097,136.344488701929,100.428373314997,99.7869855762139,142.307458904776,116.823900538304,126.248486399554,144.182716136187,0,151.207130968093,0,0,0,131.069672771754,131.387226526291,118.151778572066,114.894396732117,114.995840417709,127.259191704387,0,108.345074901495,0,0,0,0,156.463389826432,0,0,0,146.471984825677,0,0,0,0,0,150.455690874769,0,0,0,0,144.575095135858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.815798199656,138.456475742432,0,139.433880259744,134.735449450439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.892128848831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.469250947031,0,130.54782651404,146.191614516903,169.191586957386,0,175.002855796194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.882445953437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.129267211284,126.022957833572,135.806603079819,0,0,134.141176764631,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.095017351755,0,0,0,0,0,0,0,0,0,0,64.2462684492808,87.1561800195727,0,55.959628920772,83.5582431697,0,96.136516708699,89.6903722197411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.7271668315756,77.225820508703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.1645450082245,0,0,75.2863478018196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.085767077671,125.445890010815,0,0,0,0,77.6769956556006,0,0,0,0,0,0,0,0,0,0,0,0,123.008122401219,0,0,0,0,0,0,0,0,123.014663618439,111.833754734709,101.618390940835,131.682868617481,114.264861052101,0,134.355133696954,138.457589457805,146.385312279074,135.8807863262,0,0,0,0,0,129.759820677514,126.260006040503,122.207103880866,133.338731996306,133.246150209551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.220910633326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.847938380152,134.723711157115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.859576502741,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,43.2668323882367,57.0454854947033,0,39.7021275975406,26.2879880265472,0,0,0,0,0,0,0,0,0,0,0,0,0,107.010699269175,147.859644954398,0,0,0,0,0,0,0,0,146.488254501363,139.235179036016,145.48595848774,120.927835912162,128.954596663002,119.180393936612,95.6317074212413,99.9173213902519,64.01675547001,118.449458237803,0,78.3395986900323,0,0,0,65.613253939049,67.2566273477421,44.4233205765764,39.953090441178,73.8462122189797,54.0674957608372,0,0,0,140.384338151824,0,150.802163734638,145.035723057742,0,0,0,49.3136390367632,88.2735053827357,0,127.411318377013,0,0,56.9221963056476,95.5556460514582,0,0,0,71.0347486188326,79.0780924545201,58.0888153841174,93.9613345603227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0452317398388,38.7735178503854,88.3439630476119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.1891751135527,74.5231440634582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.9970006248646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.040816604465,0,0,0,0,85.6368821769929,0,0,0,0,0,0,0,0,91.8877961705131,92.7165279228563,0,86.3997220188685,0,0,0,72.7776808721006,83.3659177304475,75.8630761054571,0,0,75.5342051689659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.063363319145,0,104.559708308487,106.432277681314,107.694369830313,0,89.8941595406228,0,0,0,0,0,0,0,0,0,0,0,113.208725976481,0,0,0,0,0,0,0,0,0,0,0,0,0,95.6144676089139,83.800402059625,0,100.567863334215,107.615823813059,0,0,0,0,0,0,0,0,0,113.666944918534,111.056616397727,115.630254273095,0,78.5914107082923,0,0,0,0,0,0,0,0,119.627339453842,0,0,0,0,0,0,0,0,0,0,120.522693421183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.811482405065,109.715032680155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.79841739738,125.754370483802,122.642562591887,0,0,0,0,0,0,0,0,0,0,0
