,idx,directed_V1_Info,directed_V1_initial_amp,directed_V1_maintain_amp,directed_A1_Info,directed_A1_initial_amp,directed_A1_maintain_amp,directedsymm_V1_Info,directedsymm_V1_initial_amp,directedsymm_V1_maintain_amp,directedsymm_A1_Info,directedsymm_A1_initial_amp,directedsymm_A1_maintain_amp,threshold_V1_Info,threshold_V1_initial_amp,threshold_V1_maintain_amp,threshold_A1_Info,threshold_A1_initial_amp,threshold_A1_maintain_amp,network,trophic,trophic_group,effect_score_sum
L_V1,1,1,2.970759488,0.009883043,2,0,0.005859256,1,2.632369556,0.00603905,2,0,0.00393076,1,0.84483907,0.025139937,2,0,0.012058072,Visual1,0.652515447,3,-1.306344191
L_MST,2,1,0.016876951,-3.44E-05,2,0,0.00023863,1,0.013431411,0.000559655,1,0.005707509,0.001557895,2,0,0.00880658,2,0,0.00660732,Visual2,0.510326149,1,-1.007445503
L_V6,3,1,0.067738059,0.002681238,2,0,0.003551499,1,0.062335958,0.000881414,2,0,0.000944716,1,0.122268468,0.02607487,2,0,0.015112434,Visual2,0.56365616,2,-0.793965231
L_V2,4,1,0.105082329,0.006139368,2,0,0.00534013,1,0.075807218,0.001517884,2,0,0.001599893,1,0.140500638,0.029957158,2,0,0.016662264,Visual2,0.678852846,3,-1.119528468
L_V3,5,1,0.10076808,0.003925341,2,0,0.003273054,1,0.075334526,0.001678099,2,0,0.001878627,1,0.133822239,0.027274464,2,0,0.010016079,Visual2,0.694283839,3,-1.273151409
L_V4,6,1,0.08051639,0.00249613,2,0,0.001546754,1,0.060947877,0.001485185,2,0,0.001733062,1,0.144966914,0.025879535,2,0,0.01295684,Visual2,0.575255422,2,-1.274658831
L_V8,7,1,0.024868676,0.000300381,2,0,0.001366791,1,0.016195488,0.000500904,2,0,0.000943763,1,0.02915688,0.005107821,2,0,0.00438309,Visual2,0.585642777,2,0.134197839
L_4,8,4,0,0.05506536,4,0,0.052949121,2,0,0.012048698,2,0,0.011212158,2,0,0.00776921,2,0,0.003235832,Somatomotor,1.481467477,10,0.807147013
L_3b,9,4,0,0.060730372,4,0,0.053800996,2,0,0.007927856,2,0,0.00748023,3,0,0.025846481,2,0,0.013273869,Somatomotor,1.644426465,10,0.513337352
L_FEF,10,4,0,0.073952391,4,0,0.065710145,2,0,0.014752808,2,0,0.012973002,3,0,0.030387235,2,0,0.020567036,Cingulo-Opercular,1.491024833,10,0.548871024
L_PEF,11,4,0,0.055392384,4,0,0.055290537,2,0,0.006382147,2,0,0.008211152,3,0,0.028130266,2,0,0.019225376,Dorsal-Attention,1.540615968,10,1.833345388
L_55b,12,4,0,0.078577799,4,0,0.068835173,2,0,0.010112644,2,0,0.010780145,3,0,0.027175186,2,0,0.02204544,Language,1.586018713,10,0.693704187
L_V3A,13,1,0.081157635,0.000723439,2,0,0.000711967,1,0.065453656,0.000640846,2,0,0.001196804,1,0.129593411,0.021278054,2,0,0.019985461,Visual2,0.630630777,2,-1.180793641
L_RSC,14,4,0,0.041215534,4,0,0.035415848,1,0.034964703,0.006315878,2,0,0.006099165,1,0.046779328,0.009937857,2,0,0.002697411,Frontoparietal,1.10134056,6,0.585986667
L_POS2,15,1,0.110657832,0.02778047,4,0,0.022430466,1,0.080240774,0.00474438,2,0,0.009428939,1,0.064875144,0.013726156,0,0,0.008710446,Frontoparietal,0.769022682,4,-0.402190632
L_V7,16,1,0.049216022,-0.00027388,2,0,0.001146823,1,0.033380357,0.000440238,2,0,0.000428002,1,0.068559664,0.012124692,2,0,0.006426213,Visual2,0.620038423,2,-1.173209567
L_IPS1,17,1,0.045790883,0.001614102,2,0,0.001406495,1,0.038605458,0.001272982,2,0,0.00138438,1,0.10681912,0.023888211,2,0,0.015434392,Visual2,0.582269674,2,-0.591856955
L_FFC,18,1,0.052354994,0.002081784,2,0,0.001003901,1,0.030029511,0.00053086,2,0,0.000665709,1,0.076857706,0.017105146,2,0,0.009745922,Visual2,0.569494339,2,-1.033847177
L_V3B,19,1,0.041005642,0.00092663,2,0,0.000834366,1,0.030989746,-2.50E-05,2,0,0.000154162,1,0.059061734,0.008675629,2,0,0.007579211,Visual2,0.612240205,2,-1.163038613
L_LO1,20,1,0.015598623,0.000383382,2,0,0.000246834,1,0.00993408,0.000151935,2,0,2.97E-05,0,0,0.004223552,2,0,0.003182015,Visual2,0.65134915,3,-1.300119827
L_LO2,21,1,0.024785772,0.001462582,2,0,0.001363336,1,0.022314873,-0.000117266,2,0,0.000186537,1,0.048384875,0.008839585,2,0,0.007430784,Visual2,0.583643996,2,-1.532544515
L_PIT,22,1,0.040094611,0.000752263,2,0,0.001715062,1,0.028941796,7.70E-05,2,0,7.88E-05,1,0.050281423,0.008661395,2,0,0.006711791,Visual2,0.573998635,2,-1.224992368
L_MT,23,1,0.016443521,0.001055563,2,0,0.001553607,1,0.013786326,-0.000802702,2,0,0.000656705,2,0,0.007347299,2,0,0.00553485,Visual2,0.448072355,1,-1.323074871
L_A1,24,2,0,0.001574682,1,3.682150006,0.006333937,2,0,-4.33E-05,1,3.268251496,0.003752109,2,0,0.00934003,1,3.128839214,0.012129115,Auditory,0.81923551,4,0.120790976
L_PSL,25,2,0,0.002530026,1,0.017287942,0.00228287,2,0,0.003108566,1,0.018656676,0.003010145,2,0,0.017697917,2,0,0.012307003,Language,0.801655442,4,-0.584191813
L_SFL,26,4,0,0.027529913,4,0,0.025140607,2,0,0.007416823,2,0,0.006138881,2,0,0.007399265,2,0,0.003745969,Language,1.429154758,9,0.787206659
L_PCV,27,4,0,0.062028165,4,0,0.059107997,2,0,0.008223584,2,0,0.008497174,3,0,0.030888888,2,0,0.021196041,Posterior-Multimodal,1.268691984,8,0.266318252
L_STV,28,2,0,0.00355411,1,0.012884314,0.003561981,2,0,-0.000877895,1,0.012571598,-0.001435007,2,0,0.014081636,2,0,0.010978334,Language,1.022761323,6,-0.966401468
L_7Pm,29,0,0,0.031677433,4,0,0.030158918,1,0.047337401,0.00577779,2,0,0.00515621,3,0,0.029844264,2,0,0.023733999,Frontoparietal,0.947779705,5,-0.115659482
L_7m,30,2,0,0.015898515,2,0,0.013952952,2,0,0.001947034,2,0,0.002050123,3,0,0.019345444,2,0,0.010106878,Default,1.350465277,9,-0.16212158
L_POS1,31,1,0.04729054,0.002615528,2,0,0.002630876,1,0.048927937,0.000967851,2,0,0.002986795,1,0.107293329,0.023530409,2,0,0.018973965,Default,0.489365184,1,-0.360390957
L_23d,32,2,0,0.004964862,2,0,0.005038799,2,0,0.002527312,2,0,0.00242253,2,0,0.006986801,2,0,0.004721031,Default,0.997346537,6,0.976780159
L_v23ab,33,2,0,0.001871525,2,0,0.003409357,2,0,0.001230618,2,0,0.001105105,2,0,0.00830065,2,0,0.00439308,Default,1.132969383,7,-0.142776322
L_d23ab,34,2,0,0.003474573,2,0,0.001822283,2,0,-5.17E-05,2,0,0.001328947,2,0,0.008204339,2,0,0.005724098,Default,1.094669456,6,0.478394378
L_31pv,35,2,0,0.0043121,2,0,0.003848589,2,0,0.002707741,2,0,0.001599418,2,0,0.010371595,2,0,0.007697383,Default,1.107149995,6,0.352374413
L_5m,36,4,0,0.05596754,4,0,0.055522407,2,0,0.012125244,2,0,0.010211346,3,0,0.027444689,2,0,0.016013959,Somatomotor,1.182010202,7,0.146088362
L_5mv,37,4,0,0.077639112,4,0,0.077453191,2,0,0.011942562,2,0,0.010981798,3,0,0.030049439,2,0,0.016705538,Cingulo-Opercular,1.327414407,8,0.547680899
L_23c,38,4,0,0.069587382,4,0,0.064937673,2,0,0.011175084,2,0,0.015271107,3,0,0.027654211,2,0,0.016837682,Cingulo-Opercular,1.346225203,9,0.675058506
L_5L,39,4,0,0.074134752,4,0,0.075494309,2,0,0.009040038,2,0,0.013136453,3,0,0.030305701,2,0,0.018314012,Somatomotor,1.142332352,7,-0.14772913
L_24dd,40,4,0,0.073624426,4,0,0.074114638,2,0,0.012700334,2,0,0.008948461,3,0,0.030856373,2,0,0.018817078,Somatomotor,1.347171792,9,0.80945719
L_24dv,41,4,0,0.068209847,4,0,0.06179376,2,0,0.00896403,2,0,0.006675529,2,0,0.024341387,2,0,0.014671156,Somatomotor,1.313140611,8,1.24337814
L_7AL,42,4,0,0.067169209,4,0,0.062274147,2,0,0.009758244,2,0,0.009066866,3,0,0.026478203,2,0,0.014620366,Somatomotor,0.996783187,6,0.071284618
L_SCEF,43,4,0,0.046779398,4,0,0.044815052,2,0,0.006904053,2,0,0.007136006,2,0,0.012780033,2,0,0.006829362,Cingulo-Opercular,1.430858326,9,1.14992232
L_6ma,44,4,0,0.042642425,4,0,0.037897341,2,0,0.009055793,2,0,0.011086156,2,0,0.010801639,2,0,0.004179143,Cingulo-Opercular,1.521188157,10,0.550369497
L_7Am,45,4,0,0.063530861,4,0,0.060028934,2,0,0.012007187,2,0,0.01172075,2,0,0.012290768,0,0,0.005709171,Cingulo-Opercular,1.056388583,6,0.09616691
L_7Pl,46,1,0.054478304,0.013447349,2,0,0.014576016,1,0.042389745,0.002434773,2,0,0.004381554,3,0,0.026194673,2,0,0.018657064,Dorsal-Attention,0.833930451,4,0.441922896
L_7PC,47,4,0,0.027425039,4,0,0.02882507,2,0,0.008524764,2,0,0.008300452,3,0,0.032976624,0,0,0.024078746,Somatomotor,0.994617318,5,1.115985773
L_LIPv,48,2,0,0.006772219,2,0,0.006777888,2,0,0.005941788,2,0,0.008156784,2,0,0.026578499,1,0.049564479,0.018948037,Visual2,0.730435189,3,3.309784227
L_VIP,49,4,0,0.033576103,4,0,0.032596363,2,0,0.006587092,2,0,0.010141594,3,0,0.027599719,0,0,0.014175787,Visual2,0.907803368,5,1.083196182
L_MIP,50,1,0.013480131,0.004197246,2,0,0.003832854,1,0.023109093,0.003041597,2,0,0.003469917,2,0,0.021700151,2,0,0.014645426,Dorsal-Attention,0.727547563,3,0.818497094
L_1,51,4,0,0.043760905,4,0,0.049308714,2,0,0.007721114,2,0,0.00848703,3,0,0.024488575,2,0,0.013672995,Somatomotor,1.511488814,10,0.251172309
L_2,52,4,0,0.061953959,4,0,0.059919898,2,0,0.008864761,2,0,0.009415133,2,0,0.017618373,2,0,0.00951368,Somatomotor,1.387160645,9,1.011086891
L_3a,53,4,0,0.036581944,4,0,0.034909625,2,0,0.006769772,2,0,0.007442197,3,0,0.03546725,2,0,0.022935971,Somatomotor,1.724057777,10,0.744882123
L_6d,54,4,0,0.072951936,4,0,0.072707552,2,0,0.011126892,2,0,0.011695234,3,0,0.03272797,2,0,0.019528026,Somatomotor,1.472857075,10,0.636987192
L_6mp,55,4,0,0.058323237,4,0,0.05760558,2,0,0.010038018,2,0,0.010891281,2,0,0.016010903,2,0,0.006538298,Somatomotor,1.3786226,9,0.357653078
L_6v,56,4,0,0.063005633,4,0,0.06265229,2,0,0.009574793,2,0,0.010103916,3,0,0.026928346,2,0,0.018014956,Somatomotor,1.615380603,10,0.549848431
L_p24pr,57,2,0,0.004310536,2,0,0.003259334,2,0,0.003112612,2,0,0.002113908,2,0,0.00834912,2,0,0.005199473,Cingulo-Opercular,0.886494645,5,1.416073074
L_33pr,58,4,0,0.027108823,4,0,0.026499651,2,0,0.008206193,2,0,0.00735167,3,0,0.029445548,2,0,0.018393371,Cingulo-Opercular,0.980145868,5,1.724498878
L_a24pr,59,2,0,0.01682431,2,0,0.01514945,2,0,0.006469957,2,0,0.007426188,2,0,0.021363317,2,0,0.014322777,Cingulo-Opercular,0.848004007,4,1.243378342
L_p32pr,60,4,0,0.062784052,4,0,0.058936561,2,0,0.008502541,2,0,0.007024652,3,0,0.024428327,2,0,0.017158322,Cingulo-Opercular,1.159794114,7,1.379485539
L_a24,61,2,0,0.019741652,2,0,0.014633615,2,0,0.00463233,2,0,0.005505614,2,0,0.011896544,2,0,0.009783174,Default,1.155068355,7,-0.445728058
L_d32,62,4,0,0.046186339,4,0,0.039618003,2,0,0.008846574,2,0,0.010179241,2,0,0.025372069,2,0,0.012469862,Default,1.151633801,7,0.032826153
L_8BM,63,4,0,0.060840659,4,0,0.052022304,2,0,0.010038848,2,0,0.008519597,2,0,0.015796349,2,0,0.00944162,Frontoparietal,1.530335315,10,0.732085148
L_p32,64,2,0,0.019645561,2,0,0.019110309,2,0,0.005690988,2,0,0.005162918,2,0,0.01680399,2,0,0.009531104,Default,1.169401685,7,-0.766288721
L_10r,65,2,0,0.016743915,2,0,0.017108062,2,0,0.005068363,2,0,0.006829554,2,0,0.013825725,2,0,0.009442431,Default,1.301179159,8,-0.94986503
L_47m,66,2,0,0.000739908,2,0,0.000855657,2,0,0.000826878,2,0,0.000786047,2,0,0.003230185,2,0,0.003168244,Default,0.942218694,5,-0.57984575
L_8Av,67,4,0,0.049862042,4,0,0.048908127,2,0,0.00801931,2,0,0.010641055,2,0,0.013967329,2,0,0.0077247,Default,1.453889246,9,0.69613321
L_8Ad,68,4,0,0.071097288,4,0,0.066650718,2,0,0.012100077,2,0,0.010117294,3,0,0.030292235,2,0,0.018245075,Default,1.438718194,9,0.427238013
L_9m,69,4,0,0.066106723,4,0,0.05911075,2,0,0.008442315,2,0,0.011095411,2,0,0.021526147,2,0,0.011185885,Default,1.448554696,9,-0.394183823
L_8BL,70,4,0,0.058038373,4,0,0.052880325,2,0,0.010075494,2,0,0.008457511,2,0,0.018403905,2,0,0.009970188,Default,1.45405518,9,0.066612083
L_9p,71,4,0,0.062601561,4,0,0.053617588,2,0,0.011508555,2,0,0.007182447,3,0,0.02777271,2,0,0.01865943,Default,1.446674454,9,-0.334525818
L_10d,72,4,0,0.044544296,4,0,0.039338127,2,0,0.012460514,2,0,0.012330647,3,0,0.029797188,2,0,0.018013148,Default,1.409706355,9,-1.066457935
L_8C,73,4,0,0.078454709,4,0,0.075990982,2,0,0.014794347,2,0,0.013739204,2,0,0.016990546,2,0,0.011600032,Frontoparietal,1.336553105,9,2.083386212
L_44,74,4,0,0.044434077,4,0,0.044558782,2,0,0.014167131,2,0,0.013225314,2,0,0.01634806,2,0,0.011009851,Language,1.036611048,6,0.403166636
L_45,75,2,0,0.015939649,2,0,0.013359499,2,0,0.006509154,2,0,0.006342888,3,0,0.029261554,2,0,0.014238184,Language,0.949112572,5,-0.057176231
